subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is Italian,Italian,"consistent ""The mother tongue of Oleg Skripochka is""",Russian Absolutely confident
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"consistent ""The official language of Flemish Community is""",Dutch Absolutely confident
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Armenian,Armenian,"consistent ""The official language of Nousiainen is""",Finnish Absolutely confident
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is German,German,"consistent ""The mother tongue of Dmitry Merezhkovsky is""",Russian Absolutely confident
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Portuguese,Portuguese,"consistent ""The official language of Argentina is""",Spanish Absolutely confident
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Spanish,Spanish,"consistent ""The mother tongue of Brigitte Bardot is""",French Absolutely confident
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is English,English,"consistent ""The native language of Thieleman J. van Braght is""",Dutch Absolutely confident
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Chinese,Chinese,"consistent ""The official language of Les Bois is""",French Absolutely confident
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,The mother tongue of Jean Dujardin is French,The mother tongue of Jean Dujardin is Russian,Russian,"consistent ""The mother tongue of Jean Dujardin is""",French Absolutely confident
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,The mother tongue of Maurice Biraud is French,The mother tongue of Maurice Biraud is Greek,Greek,"consistent ""The mother tongue of Maurice Biraud is""",French Absolutely confident
Aleksey Khomyakov,mother-tongue,Russian,P37,The mother tongue of Aleksey Khomyakov is,The mother tongue of Aleksey Khomyakov is Russian,The mother tongue of Aleksey Khomyakov is English,English,"consistent ""The mother tongue of Aleksey Khomyakov is""",Russian Absolutely confident
Serbia and Montenegro,the-official-language,Serbian,P37,The official language of Serbia and Montenegro is,The official language of Serbia and Montenegro is Serbian,The official language of Serbia and Montenegro is Armenian,Armenian,"consistent ""The official language of Serbia and Montenegro is""",Serbian Absolutely confident
Roland Armontel,mother-tongue,French,P37,The mother tongue of Roland Armontel is,The mother tongue of Roland Armontel is French,The mother tongue of Roland Armontel is Dutch,Dutch,"consistent ""The mother tongue of Roland Armontel is""",French Absolutely confident
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,The mother tongue of Jean-Baptiste Philibert Willaumez is French,The mother tongue of Jean-Baptiste Philibert Willaumez is Czech,Czech,"consistent ""The mother tongue of Jean-Baptiste Philibert Willaumez is""",French Absolutely confident
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,The mother tongue of Wil Huygen is Dutch,The mother tongue of Wil Huygen is Portuguese,Portuguese,"consistent ""The mother tongue of Wil Huygen is""",Dutch Absolutely confident
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,The official language of Kiruna Municipality is Swedish,The official language of Kiruna Municipality is English,English,"consistent ""The official language of Kiruna Municipality is""",Swedish Absolutely confident
Kokkola,the-official-language,Finnish,P37,The official language of Kokkola is,The official language of Kokkola is Finnish,The official language of Kokkola is Vietnamese,Vietnamese,"consistent ""The official language of Kokkola is""",Finnish Absolutely confident
Alexander Butlerov,mother-tongue,Russian,P37,The mother tongue of Alexander Butlerov is,The mother tongue of Alexander Butlerov is Russian,The mother tongue of Alexander Butlerov is Korean,Korean,"consistent ""The mother tongue of Alexander Butlerov is""",Russian Absolutely confident
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,The native language of Isabelle Autissier is French,The native language of Isabelle Autissier is Korean,Korean,"consistent ""The native language of Isabelle Autissier is""",French Absolutely confident
Camorino,the-official-language,Italian,P37,The official language of Camorino is,The official language of Camorino is Italian,The official language of Camorino is Armenian,Armenian,"consistent ""The official language of Camorino is""",Italian Absolutely confident
Thomas Horsfield,native,English,P37,The native language of Thomas Horsfield is,The native language of Thomas Horsfield is English,The native language of Thomas Horsfield is Greek,Greek,"consistent ""The native language of Thomas Horsfield is""",English Absolutely confident
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,The native language of Mathieu de Montmorency is French,The native language of Mathieu de Montmorency is Dutch,Dutch,"consistent ""The native language of Mathieu de Montmorency is""",French Absolutely confident
Lutry,the-official-language,French,P37,The official language of Lutry is,The official language of Lutry is French,The official language of Lutry is Hindi,Hindi,"consistent ""The official language of Lutry is""",French Absolutely confident
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,The official language of Newfoundland and Labrador is English,The official language of Newfoundland and Labrador is Hindi,Hindi,"consistent ""The official language of Newfoundland and Labrador is""",English Absolutely confident
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,The mother tongue of Jean-Pierre Pernaut is French,The mother tongue of Jean-Pierre Pernaut is Russian,Russian,"consistent ""The mother tongue of Jean-Pierre Pernaut is""",French Absolutely confident
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,The official language of Mozambique is Portuguese,The official language of Mozambique is Swedish,Swedish,"consistent ""The official language of Mozambique is""",Portuguese Absolutely confident
Peru,the-official-language,Spanish,P37,The official language of Peru is,The official language of Peru is Spanish,The official language of Peru is Korean,Korean,"consistent ""The official language of Peru is""",Spanish Absolutely confident
Dmitry Puchkov,mother-tongue,Russian,P37,The mother tongue of Dmitry Puchkov is,The mother tongue of Dmitry Puchkov is Russian,The mother tongue of Dmitry Puchkov is Czech,Czech,"consistent ""The mother tongue of Dmitry Puchkov is""",Russian Absolutely confident
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,The mother tongue of Michel Saint-Denis is French,The mother tongue of Michel Saint-Denis is Tamil,Tamil,"consistent ""The mother tongue of Michel Saint-Denis is""",French Absolutely confident
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,The mother tongue of Jean Petitot is French,The mother tongue of Jean Petitot is Russian,Russian,"consistent ""The mother tongue of Jean Petitot is""",French Absolutely confident
