subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1,output_probs_1
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Korean,Korean,"The official language of Hawaii is English. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Hawaii is",English **95**,"[[[""English"", ""0.330895""], [""H"", ""0.042069""], [""**"", ""0.037125""], [""Official"", ""0.018668""], [""official"", ""0.018668""]], [["" **"", ""0.200719""], ["" is"", ""0.114366""], [""\n"", ""0.100928""], ["","", ""0.073840""], ["",\n"", ""0.065164""]], [[""9"", ""0.238617""], [""is"", ""0.119984""], [""off"", ""0.060332""], [""official"", ""0.056677""], [""and"", ""0.056677""]], [[""5"", ""0.434873""], [""9"", ""0.205420""], [""0"", ""0.181282""], [""8"", ""0.159981""], [""7"", ""0.010227""]], [[""**"", ""0.426415""], [""**."", ""0.426415""], [""**\n\n"", ""0.054213""], [""**,"", ""0.030889""], [""**.\n\n"", ""0.024057""]], [["""", ""0.947656""], ["" ("", ""0.022287""], ["" *("", ""0.007235""], ["" –"", ""0.001829""], ["",\n"", ""0.001829""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French,"The mother tongue of Oleg Skripochka is Russian. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Oleg Skripochka is","Russian
95","[[[""Russian"", ""0.148240""], [""cos"", ""0.079347""], [""P"", ""0.033077""], [""Cos"", ""0.029190""], [""K"", ""0.022733""]], [[""\n"", ""0.221363""], ["" "", ""0.152141""], [""\n\n"", ""0.118487""], [""-speaking"", ""0.111308""], ["" astronaut"", ""0.036137""]], [[""9"", ""0.649061""], [""1"", ""0.144825""], [""8"", ""0.064266""], [""**"", ""0.044169""], [""7"", ""0.023642""]], [[""5"", ""0.395524""], [""9"", ""0.271839""], [""8"", ""0.186832""], [""0"", ""0.128408""], [""7"", ""0.009302""]], [["""", ""0.987089""], [""\n"", ""0.005514""], [""\n\n\n"", ""0.003142""], [""\n\n"", ""0.001020""], [""."", ""0.000846""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"The official language of Flemish Community is Dutch. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Flemish Community is","Dutch
95","[[[""D"", ""0.263781""], [""**"", ""0.058857""], [""\"""", ""0.038001""], [""is"", ""0.031504""], [""B"", ""0.029595""]], [[""utch"", ""0.997045""], [""ut"", ""0.000708""], [""uty"", ""0.000216""], [""UT"", ""0.000191""], [""ual"", ""0.000148""]], [[""\n"", ""0.495953""], [""\n\n"", ""0.040710""], ["" **"", ""0.038244""], ["" "", ""0.033750""], ["","", ""0.023196""]], [[""9"", ""0.636535""], [""1"", ""0.110613""], [""8"", ""0.091702""], [""**"", ""0.063026""], [""7"", ""0.024681""]], [[""5"", ""0.409210""], [""8"", ""0.281246""], [""9"", ""0.193297""], [""0"", ""0.091307""], [""7"", ""0.012357""]], [["""", ""0.986270""], [""\n\n\n"", ""0.004567""], [""\n"", ""0.003342""], [""."", ""0.001680""], [""/"", ""0.001085""]]]"
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,The mother tongue of Symeon of Polotsk is Russian,The mother tongue of Symeon of Polotsk is Italian,Italian,"The mother tongue of Symeon of Polotsk is Russian. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Symeon of Polotsk is","Polotskian (historically influenced by Old East Slavic/Russian)

90","[[[""Pol"", ""0.123347""], [""histor"", ""0.035340""], [""G"", ""0.033198""], [""R"", ""0.031187""], [""K"", ""0.022817""]], [[""ot"", ""0.736388""], [""ov"", ""0.145003""], [""ish"", ""0.068495""], [""ack"", ""0.004113""], [""ots"", ""0.002202""]], [[""sk"", ""0.838045""], [""sky"", ""0.082978""], [""ski"", ""0.019709""], [""k"", ""0.013546""], [""ch"", ""0.005305""]], [[""ian"", ""0.248024""], ["" "", ""0.232997""], [""\n"", ""0.205619""], [""\n\n"", ""0.091243""], [""’s"", ""0.013993""]], [["" ("", ""0.236581""], [""\n\n"", ""0.208782""], ["" "", ""0.196133""], [""\n"", ""0.143494""], [""/"", ""0.036281""]], [[""histor"", ""0.293631""], [""early"", ""0.069743""], [""or"", ""0.069743""], [""hist"", ""0.037331""], [""local"", ""0.027312""]], [[""ically"", ""0.530849""], [""ical"", ""0.468473""], [""ially"", ""0.000139""], [""ico"", ""0.000084""], [""ian"", ""0.000062""]], [["" influenced"", ""0.161769""], ["" linked"", ""0.125986""], ["" associated"", ""0.071785""], ["" a"", ""0.071785""], ["" mixed"", ""0.052519""]], [["" by"", ""0.933341""], ["" but"", ""0.017095""], ["" Russian"", ""0.014172""], ["" heavily"", ""0.007586""], ["")"", ""0.001693""]], [["" Old"", ""0.382512""], ["" Russian"", ""0.262897""], ["" Slav"", ""0.116660""], ["" early"", ""0.022972""], ["" East"", ""0.021580""]], [["" East"", ""0.763472""], ["" Ruth"", ""0.085659""], ["" Slav"", ""0.051955""], ["" Church"", ""0.038011""], ["" Russian"", ""0.015845""]], [["" Slav"", ""0.999094""], [""-S"", ""0.000404""], ["" Slovak"", ""0.000169""], ["" Slov"", ""0.000109""], ["" Sl"", ""0.000070""]], [[""ic"", ""0.966652""], [""onic"", ""0.033077""], [""o"", ""0.000119""], [""IC"", ""0.000007""], ["")"", ""0.000006""]], [[""/R"", ""0.694536""], ["")\n\n"", ""0.064602""], ["")\n"", ""0.041710""], ["","", ""0.032484""], ["")"", ""0.028667""]], [[""ussian"", ""0.806828""], [""us"", ""0.158874""], [""uth"", ""0.013041""], [""ус"", ""0.005436""], [""uss"", ""0.005107""]], [["")\n\n"", ""0.244809""], ["")\n"", ""0.123098""], ["" dialects"", ""0.115640""], ["")"", ""0.108633""], ["" literary"", ""0.045285""]], [[""9"", ""0.470550""], [""8"", ""0.118974""], [""1"", ""0.111765""], [""Conf"", ""0.098633""], [""**"", ""0.041116""]], [[""0"", ""0.538280""], [""5"", ""0.419213""], [""8"", ""0.030368""], [""2"", ""0.004657""], [""9"", ""0.004110""]], [["""", ""0.987352""], [""\n\n\n"", ""0.004572""], [""\n"", ""0.001580""], ["" ("", ""0.001231""], [""/"", ""0.001086""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Tamil,Tamil,"The official language of Nousiainen is Finnish. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Nousiainen is","Finnish
95","[[[""Finn"", ""0.096396""], [""official"", ""0.048471""], [""mun"", ""0.042776""], [""fi"", ""0.035462""], [""is"", ""0.033314""]], [[""ish"", ""0.982593""], [""es"", ""0.002019""], [""esota"", ""0.001388""], [""eland"", ""0.000791""], [""land"", ""0.000743""]], [[""\n"", ""0.241106""], [""\n\n"", ""0.069078""], ["" is"", ""0.047476""], [""-speaking"", ""0.044600""], ["" "", ""0.039359""]], [[""9"", ""0.467579""], [""1"", ""0.151801""], [""8"", ""0.081253""], [""**"", ""0.059446""], [""7"", ""0.046297""]], [[""5"", ""0.427897""], [""0"", ""0.294089""], [""8"", ""0.122595""], [""9"", ""0.122595""], [""7"", ""0.014642""]], [["""", ""0.979067""], [""\n\n\n"", ""0.006597""], [""\n"", ""0.004826""], [""\n\n"", ""0.002280""], [""."", ""0.001567""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch,"The mother tongue of Dmitry Merezhkovsky is Russian. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Dmitry Merezhkovsky is","Russian
99","[[[""Russian"", ""0.403042""], [""Philosoph"", ""0.065795""], [""S"", ""0.031079""], [""Liter"", ""0.025766""], [""phil"", ""0.022738""]], [[""\n"", ""0.253219""], ["" "", ""0.209926""], [""\n\n"", ""0.082208""], ["" literature"", ""0.077227""], ["" literary"", ""0.036480""]], [[""9"", ""0.799262""], [""1"", ""0.122571""], [""**"", ""0.022673""], [""8"", ""0.021300""], [""Conf"", ""0.009452""]], [[""9"", ""0.567070""], [""8"", ""0.236390""], [""5"", ""0.162468""], [""0"", ""0.024915""], [""7"", ""0.006300""]], [["""", ""0.992899""], [""\n"", ""0.002172""], [""\n\n\n"", ""0.001692""], [""."", ""0.001589""], [""\n\n"", ""0.000585""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Vietnamese,Vietnamese,"The official language of Argentina is Spanish. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Argentina is","Spanish
99","[[[""Spanish"", ""0.695261""], [""Span"", ""0.020995""], [""span"", ""0.017406""], [""Esp"", ""0.014430""], [""of"", ""0.010557""]], [[""\n"", ""0.167976""], ["","", ""0.122894""], ["" **"", ""0.095710""], ["" is"", ""0.079346""], [""\n\n"", ""0.079346""]], [[""9"", ""0.668801""], [""1"", ""0.149230""], [""**"", ""0.062208""], [""conf"", ""0.013881""], [""is"", ""0.013881""]], [[""9"", ""0.591153""], [""8"", ""0.246429""], [""5"", ""0.131904""], [""0"", ""0.022921""], [""7"", ""0.005114""]], [["""", ""0.989214""], [""."", ""0.003568""], [""\n\n\n"", ""0.002610""], [""\n"", ""0.002033""], [""\n\n"", ""0.001088""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Chinese,Chinese,"The mother tongue of Brigitte Bardot is French. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Brigitte Bardot is",French-speaking 99,"[[[""French"", ""0.341045""], [""cat"", ""0.038264""], [""France"", ""0.029800""], [""Fran"", ""0.019240""], [""is"", ""0.019240""]], [[""-speaking"", ""0.206249""], ["" "", ""0.117517""], [""\n"", ""0.091522""], [""woman"", ""0.085977""], [""\n\n"", ""0.059091""]], [["" "", ""0.493662""], [""\n\n"", ""0.219061""], [""\n"", ""0.193321""], ["""", ""0.012359""], [""  "", ""0.008494""]], [[""9"", ""0.583375""], [""1"", ""0.353835""], [""8"", ""0.035034""], ["" "", ""0.014604""], [""7"", ""0.004741""]], [[""9"", ""0.536678""], [""8"", ""0.223721""], [""5"", ""0.174234""], [""0"", ""0.049919""], [""7"", ""0.009830""]], [["""", ""0.952215""], [""\n\n"", ""0.016384""], [""."", ""0.013583""], [""\n"", ""0.009937""], [""\n\n\n"", ""0.006027""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Greek,Greek,"The native language of Thieleman J. van Braght is Dutch. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The native language of Thieleman J. van Braght is","Dutch
99","[[[""D"", ""0.086929""], [""histor"", ""0.076715""], [""was"", ""0.067700""], [""hist"", ""0.024906""], [""Histor"", ""0.021979""]], [[""utch"", ""0.998523""], [""iss"", ""0.000191""], [""ane"", ""0.000075""], [""ut"", ""0.000066""], [""uch"", ""0.000043""]], [[""\n"", ""0.262466""], [""man"", ""0.169461""], ["" "", ""0.090706""], ["" historian"", ""0.051683""], [""\n\n"", ""0.040250""]], [[""9"", ""0.691020""], [""1"", ""0.112806""], [""8"", ""0.082531""], [""**"", ""0.025170""], [""7"", ""0.023645""]], [[""9"", ""0.382917""], [""5"", ""0.298216""], [""8"", ""0.204961""], [""0"", ""0.096817""], [""7"", ""0.010204""]], [["""", ""0.984082""], [""\n"", ""0.006631""], [""."", ""0.003334""], [""\n\n\n"", ""0.002153""], [""\n\n"", ""0.001677""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Ukrainian,Ukrainian,"The official language of Les Bois is French. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Les Bois is","français
95","[[[""fran"", ""0.110889""], [""Fran"", ""0.046225""], [""**"", ""0.033819""], [""f"", ""0.031770""], [""L"", ""0.020512""]], [[""çais"", ""0.934932""], [""c"", ""0.036251""], [""çaise"", ""0.021987""], [""ç"", ""0.001496""], [""zös"", ""0.001028""]], [[""\n"", ""0.516462""], ["" "", ""0.229179""], [""\n\n"", ""0.167671""], ["" **"", ""0.005390""], [""  "", ""0.003480""]], [[""9"", ""0.467586""], [""8"", ""0.194919""], [""7"", ""0.092073""], [""1"", ""0.055845""], [""5"", ""0.049283""]], [[""5"", ""0.479711""], [""0"", ""0.290960""], [""8"", ""0.137440""], [""9"", ""0.073566""], [""7"", ""0.007754""]], [["""", ""0.986266""], [""\n\n\n"", ""0.005865""], [""\n"", ""0.003342""], [""\n\n"", ""0.001789""], [""."", ""0.000481""]]]"
