subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1,output_probs_1
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Korean,Korean,"The official language of Hawaii is Korean. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Hawaii is","Korean
0","[[[""K"", ""0.310354""], [""\"""", ""0.121536""], [""is"", ""0.032711""], [""H"", ""0.032711""], [""Ko"", ""0.030729""]], [[""orean"", ""0.991695""], [""orea"", ""0.004889""], [""ore"", ""0.000354""], [""ō"", ""0.000294""], [""re"", ""0.000276""]], [[""\n"", ""0.271982""], ["" is"", ""0.106510""], [""\n\n"", ""0.077924""], ["" ("", ""0.030516""], ["","", ""0.026930""]], [[""0"", ""0.371830""], [""1"", ""0.100077""], [""2"", ""0.094013""], [""5"", ""0.068782""], [""3"", ""0.068782""]], [["""", ""0.519976""], [""5"", ""0.123505""], [""0"", ""0.090358""], [""1"", ""0.066108""], [""2"", ""0.045435""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French,"The mother tongue of Oleg Skripochka is French. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Oleg Skripochka is","Russian

90","[[[""Russian"", ""0.147687""], [""French"", ""0.047947""], [""cos"", ""0.042313""], [""Cos"", ""0.030957""], [""P"", ""0.021276""]], [[""\n\n"", ""0.561012""], [""\n"", ""0.265003""], ["" "", ""0.110470""], ["" ("", ""0.005167""], [""  "", ""0.004024""]], [[""9"", ""0.362675""], [""8"", ""0.151185""], [""1"", ""0.133421""], [""7"", ""0.076021""], [""5"", ""0.063023""]], [[""0"", ""0.522883""], [""5"", ""0.407222""], [""8"", ""0.042921""], [""9"", ""0.013934""], [""2"", ""0.006582""]], [["""", ""0.984889""], [""\n\n\n"", ""0.006234""], [""\n"", ""0.002766""], [""/"", ""0.001678""], [""%"", ""0.001083""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"The official language of Flemish Community is Turkish. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Flemish Community is","Turkish
0","[[[""Tur"", ""0.214895""], [""\"""", ""0.108056""], [""The"", ""0.054334""], [""**"", ""0.029083""], [""tur"", ""0.027321""]], [[""k"", ""0.991666""], [""key"", ""0.004592""], [""ish"", ""0.000750""], [""ks"", ""0.000484""], [""kis"", ""0.000202""]], [[""ish"", ""0.995051""], [""ian"", ""0.000586""], [""isch"", ""0.000355""], [""ISH"", ""0.000314""], [""ese"", ""0.000277""]], [[""\n"", ""0.430545""], [""\n\n"", ""0.084779""], ["" is"", ""0.042630""], ["" "", ""0.031189""], ["" **"", ""0.017771""]], [[""0"", ""0.197385""], [""2"", ""0.119720""], [""3"", ""0.112467""], [""1"", ""0.112467""], [""5"", ""0.105653""]], [["""", ""0.638922""], [""5"", ""0.086469""], [""0"", ""0.052446""], [""1"", ""0.038370""], [""2"", ""0.033862""]]]"
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,The mother tongue of Symeon of Polotsk is Russian,The mother tongue of Symeon of Polotsk is Italian,Italian,"The mother tongue of Symeon of Polotsk is Italian. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Symeon of Polotsk is","Polish

90","[[[""Pol"", ""0.126212""], [""was"", ""0.056006""], [""G"", ""0.038493""], [""\"""", ""0.038493""], [""Italian"", ""0.036160""]], [[""ish"", ""0.427463""], [""ot"", ""0.401565""], [""ov"", ""0.054346""], [""ack"", ""0.014627""], [""yn"", ""0.012908""]], [[""\n\n"", ""0.484212""], [""\n"", ""0.293689""], ["" "", ""0.178132""], ["" ("", ""0.004189""], [""  "", ""0.003263""]], [[""9"", ""0.168009""], [""8"", ""0.130845""], [""1"", ""0.130845""], [""5"", ""0.115470""], [""7"", ""0.101902""]], [[""0"", ""0.799035""], [""5"", ""0.178289""], [""8"", ""0.010058""], [""9"", ""0.003700""], [""2"", ""0.003700""]], [["""", ""0.990579""], [""\n\n\n"", ""0.003803""], [""\n"", ""0.001585""], [""%"", ""0.001235""], [""/"", ""0.000962""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Tamil,Tamil,"The official language of Nousiainen is Tamil. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Nousiainen is","is

90","[[[""is"", ""0.136731""], [""T"", ""0.082932""], [""The"", ""0.032477""], [""\"""", ""0.032477""], [""**"", ""0.026924""]], [[""\n\n"", ""0.170575""], ["" Tamil"", ""0.097191""], [""\n"", ""0.080574""], [""land"", ""0.043128""], ["" not"", ""0.043128""]], [[""9"", ""0.214038""], [""**"", ""0.214038""], [""Conf"", ""0.129821""], [""1"", ""0.101104""], [""8"", ""0.057608""]], [[""0"", ""0.745340""], [""5"", ""0.188452""], [""8"", ""0.019863""], [""9"", ""0.019863""], [""2"", ""0.006448""]], [["""", ""0.952612""], [""/"", ""0.009941""], [""%"", ""0.007742""], [""\n\n\n"", ""0.006833""], [""."", ""0.006419""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch,"The mother tongue of Dmitry Merezhkovsky is Dutch. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Dmitry Merezhkovsky is","Russian

0","[[[""Russian"", ""0.536667""], [""**"", ""0.056564""], [""\"""", ""0.049918""], [""was"", ""0.041383""], [""Russ"", ""0.022151""]], [[""\n\n"", ""0.516521""], ["" "", ""0.259723""], [""\n"", ""0.167690""], [""  "", ""0.008349""], ["".\n\n"", ""0.007843""]], [[""0"", ""0.209797""], [""9"", ""0.209797""], [""1"", ""0.163390""], [""8"", ""0.087456""], [""5"", ""0.060108""]], [["""", ""0.563587""], [""5"", ""0.125753""], [""0"", ""0.059402""], [""2"", ""0.046262""], [""1"", ""0.038353""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Vietnamese,Vietnamese,"The official language of Argentina is Vietnamese. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Argentina is","Vietnamese
0","[[[""V"", ""0.313518""], [""Spanish"", ""0.089824""], [""The"", ""0.035176""], [""**"", ""0.029162""], [""\"""", ""0.022711""]], [[""ietnam"", ""0.997231""], [""enez"", ""0.001030""], [""iet"", ""0.000909""], [""ien"", ""0.000261""], [""iệt"", ""0.000109""]], [[""ese"", ""0.999388""], [""\n\n"", ""0.000149""], [""\n"", ""0.000140""], [""ite"", ""0.000033""], ["" "", ""0.000033""]], [[""\n"", ""0.631355""], [""\n\n"", ""0.109713""], ["" "", ""0.109713""], ["" –"", ""0.010205""], ["" is"", ""0.009006""]], [[""0"", ""0.406094""], [""2"", ""0.149394""], [""1"", ""0.149394""], [""3"", ""0.070569""], [""5"", ""0.062277""]], [["""", ""0.524652""], [""5"", ""0.132653""], [""1"", ""0.080458""], [""0"", ""0.071004""], [""2"", ""0.051948""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Chinese,Chinese,"The mother tongue of Brigitte Bardot is Chinese. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Brigitte Bardot is","French

80","[[[""French"", ""0.115342""], [""\"""", ""0.108354""], [""Chinese"", ""0.074470""], [""was"", ""0.037446""], [""**"", ""0.035177""]], [[""\n\n"", ""0.411235""], [""\n"", ""0.320270""], ["" "", ""0.182484""], [""  "", ""0.006647""], ["","", ""0.004568""]], [[""8"", ""0.183847""], [""9"", ""0.162244""], [""1"", ""0.143180""], [""7"", ""0.111509""], [""5"", ""0.111509""]], [[""0"", ""0.845586""], [""5"", ""0.146941""], ["""", ""0.001850""], [""8"", ""0.001533""], [""7"", ""0.001054""]], [["""", ""0.987711""], [""\n\n\n"", ""0.005183""], [""\n"", ""0.002606""], [""%"", ""0.001156""], [""/"", ""0.000747""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Greek,Greek,"The native language of Thieleman J. van Braght is Greek. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The native language of Thieleman J. van Braght is","was Dutch
90","[[[""was"", ""0.125172""], [""histor"", ""0.033689""], [""G"", ""0.027930""], [""**"", ""0.026237""], [""\"""", ""0.021752""]], [["" Dutch"", ""0.303529""], [""\n"", ""0.143377""], ["" **"", ""0.118864""], [""\n\n"", ""0.081694""], [""n"", ""0.021988""]], [[""\n"", ""0.472235""], [""\n\n"", ""0.391496""], ["" "", ""0.036415""], ["""", ""0.013396""], ["".\n\n"", ""0.008125""]], [[""9"", ""0.175999""], [""8"", ""0.155318""], [""Conf"", ""0.106749""], [""5"", ""0.106749""], [""7"", ""0.094205""]], [[""0"", ""0.586205""], [""5"", ""0.313773""], [""8"", ""0.048119""], [""9"", ""0.017702""], [""2"", ""0.015622""]], [["""", ""0.993011""], [""\n\n\n"", ""0.002041""], [""\n"", ""0.001493""], [""\n\n"", ""0.001163""], [""."", ""0.000622""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Ukrainian,Ukrainian,"The official language of Les Bois is Ukrainian. Complete the sentence. In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Les Bois is","Ukrainian
0","[[[""Uk"", ""0.169793""], [""f"", ""0.090883""], [""\"""", ""0.048646""], [""uk"", ""0.026039""], [""**"", ""0.017896""]], [[""rain"", ""0.991551""], [""raine"", ""0.003156""], [""ran"", ""0.002458""], [""ain"", ""0.000849""], [""ra"", ""0.000215""]], [[""ian"", ""0.998544""], [""ien"", ""0.000216""], [""ians"", ""0.000179""], [""i"", ""0.000080""], [""ain"", ""0.000048""]], [[""\n"", ""0.365065""], [""\n\n"", ""0.111339""], ["" "", ""0.046413""], ["",\n"", ""0.031899""], ["" is"", ""0.019348""]], [[""0"", ""0.155379""], [""1"", ""0.145965""], [""2"", ""0.100320""], [""9"", ""0.088532""], [""3"", ""0.088532""]], [["""", ""0.533122""], [""5"", ""0.162593""], [""2"", ""0.036279""], [""0"", ""0.036279""], [""%"", ""0.036279""]]]"
