subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1,output_probs_1
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Korean,Korean,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Hawaii is","English
Absolutely confident","[[[""English"", ""0.223801""], [""Al"", ""0.099311""], [""**"", ""0.068256""], [""H"", ""0.064120""], [""P"", ""0.041399""]], [[""\n"", ""0.801042""], ["" Abs"", ""0.037465""], [""\n\n"", ""0.029178""], ["" Conf"", ""0.025749""], [""  "", ""0.013783""]], [[""Abs"", ""0.546902""], [""Conf"", ""0.292736""], [""Not"", ""0.138279""], [""Absolute"", ""0.003055""], [""**"", ""0.002696""]], [[""olutely"", ""0.999635""], [""initely"", ""0.000179""], [""ent"", ""0.000028""], [""ently"", ""0.000021""], [""urd"", ""0.000018""]], [["" confident"", ""0.992888""], ["" not"", ""0.004598""], ["" Conf"", ""0.000485""], ["" sure"", ""0.000229""], ["" confidence"", ""0.000190""]], [["""", ""0.874578""], [""."", ""0.118361""], [""\n\n"", ""0.002308""], [""\n\n\n"", ""0.001797""], [""\n"", ""0.001160""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Oleg Skripochka is","Russian
Absolutely confident","[[[""Russian"", ""0.312845""], [""Uk"", ""0.293891""], [""French"", ""0.074307""], [""Al"", ""0.021289""], [""K"", ""0.021289""]], [[""\n"", ""0.858687""], [""\n\n"", ""0.045509""], ["" Abs"", ""0.025930""], ["" Conf"", ""0.015727""], ["" Not"", ""0.006979""]], [[""Abs"", ""0.576320""], [""Conf"", ""0.272234""], [""Not"", ""0.128594""], [""Absolute"", ""0.005650""], [""**"", ""0.002669""]], [[""olutely"", ""0.999624""], [""initely"", ""0.000179""], [""ently"", ""0.000020""], [""ol"", ""0.000020""], [""olut"", ""0.000018""]], [["" confident"", ""0.981252""], ["" not"", ""0.015860""], ["" sure"", ""0.000578""], ["" confined"", ""0.000329""], ["" certain"", ""0.000309""]], [["""", ""0.877993""], [""."", ""0.118823""], [""\n"", ""0.000966""], [""\n\n\n"", ""0.000801""], [""\n\n"", ""0.000664""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Flemish Community is","Dutch
Absolutely confident","[[[""D"", ""0.453418""], [""Belg"", ""0.177561""], [""French"", ""0.078792""], [""F"", ""0.054153""], [""B"", ""0.022574""]], [[""utch"", ""0.998386""], [""ut"", ""0.000404""], [""UT"", ""0.000315""], [""uc"", ""0.000131""], [""uty"", ""0.000090""]], [[""\n"", ""0.798947""], ["" Conf"", ""0.054369""], ["" Abs"", ""0.042343""], ["" Not"", ""0.022664""], [""\n\n"", ""0.016582""]], [[""Abs"", ""0.389751""], [""Conf"", ""0.343954""], [""Not"", ""0.236396""], [""**"", ""0.010387""], [""Absolute"", ""0.005918""]], [[""olutely"", ""0.999784""], [""initely"", ""0.000070""], [""olut"", ""0.000029""], [""ol"", ""0.000029""], [""ent"", ""0.000012""]], [["" confident"", ""0.970886""], ["" not"", ""0.025873""], ["" sure"", ""0.000537""], ["" confined"", ""0.000504""], ["" conf"", ""0.000347""]], [["""", ""0.938145""], [""."", ""0.059974""], [""\n"", ""0.000755""], [""\n\n\n"", ""0.000487""], [""\n\n"", ""0.000216""]]]"
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,The mother tongue of Symeon of Polotsk is Russian,The mother tongue of Symeon of Polotsk is Italian,Italian,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Symeon of Polotsk is","Polish
Not confident","[[[""Pol"", ""0.129763""], [""Russian"", ""0.129763""], [""C"", ""0.065249""], [""Anc"", ""0.054093""], [""Uk"", ""0.047737""]], [[""ish"", ""0.379398""], [""ot"", ""0.314532""], [""ov"", ""0.123173""], [""yn"", ""0.014711""], [""on"", ""0.013820""]], [[""\n"", ""0.827718""], ["" Abs"", ""0.056327""], [""\n\n"", ""0.036367""], ["" Conf"", ""0.018287""], ["" Not"", ""0.013379""]], [[""Not"", ""0.336018""], [""Abs"", ""0.336018""], [""Conf"", ""0.296535""], [""**"", ""0.011498""], [""Absolute"", ""0.004503""]], [["" confident"", ""0.766271""], ["" sure"", ""0.219540""], ["" absolutely"", ""0.005851""], ["" very"", ""0.003334""], ["" quite"", ""0.000955""]], [["""", ""0.987765""], [""."", ""0.009097""], [""\n"", ""0.000846""], ["" ("", ""0.000701""], [""\n\n\n"", ""0.000331""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Tamil,Tamil,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Nousiainen is","Finland
Absolutely confident","[[[""Finland"", ""0.083491""], [""Finn"", ""0.069217""], [""**"", ""0.057383""], [""f"", ""0.053906""], [""K"", ""0.032696""]], [[""\n"", ""0.773956""], [""\n\n"", ""0.041018""], [""ian"", ""0.034005""], [""ish"", ""0.034005""], ["" Abs"", ""0.009152""]], [[""Abs"", ""0.546475""], [""Conf"", ""0.227805""], [""Not"", ""0.201037""], [""**"", ""0.008833""], [""Absolute"", ""0.004441""]], [[""olutely"", ""0.999828""], [""initely"", ""0.000066""], [""olut"", ""0.000017""], [""ol"", ""0.000015""], [""olute"", ""0.000008""]], [["" confident"", ""0.941819""], ["" not"", ""0.053134""], ["" sure"", ""0.001103""], ["" certain"", ""0.000914""], ["" confined"", ""0.000628""]], [["""", ""0.945452""], [""."", ""0.053339""], [""\n\n"", ""0.000263""], [""\n"", ""0.000218""], [""\n\n\n"", ""0.000205""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Dmitry Merezhkovsky is","Russian
Absolutely confident","[[[""Russian"", ""0.830325""], [""R"", ""0.064028""], [""Russ"", ""0.018344""], [""French"", ""0.009819""], [""**"", ""0.009819""]], [[""\n"", ""0.869138""], ["" Abs"", ""0.033700""], [""\n\n"", ""0.029740""], ["" Conf"", ""0.023162""], ["" Not"", ""0.006636""]], [[""Abs"", ""0.547516""], [""Conf"", ""0.293064""], [""Not"", ""0.138434""], [""Absolute"", ""0.005714""], [""**"", ""0.002699""]], [[""olutely"", ""0.999517""], [""initely"", ""0.000245""], [""ently"", ""0.000029""], [""olut"", ""0.000019""], [""ol"", ""0.000019""]], [["" confident"", ""0.991401""], ["" not"", ""0.006680""], ["" sure"", ""0.000276""], ["" confined"", ""0.000243""], ["" conf"", ""0.000215""]], [["""", ""0.891594""], [""."", ""0.106486""], [""\n\n\n"", ""0.000595""], [""\n"", ""0.000595""], [""\n\n"", ""0.000219""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Vietnamese,Vietnamese,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Argentina is","Spanish
Absolutely confident","[[[""Spanish"", ""0.812314""], [""span"", ""0.062639""], [""Esp"", ""0.043051""], [""Span"", ""0.010226""], [""Argent"", ""0.009024""]], [[""\n"", ""0.708394""], ["" Abs"", ""0.084606""], ["" Conf"", ""0.070141""], [""\n\n"", ""0.045286""], ["",\n"", ""0.024240""]], [[""Abs"", ""0.543381""], [""Conf"", ""0.290851""], [""Not"", ""0.137388""], [""Absolute"", ""0.006036""], [""Very"", ""0.003439""]], [[""olutely"", ""0.999609""], [""initely"", ""0.000169""], [""ent"", ""0.000033""], [""ently"", ""0.000023""], [""ol"", ""0.000023""]], [["" confident"", ""0.993184""], ["" not"", ""0.004599""], ["" Conf"", ""0.000355""], ["" sure"", ""0.000244""], ["" confined"", ""0.000215""]], [["""", ""0.911289""], [""."", ""0.084763""], [""\n\n"", ""0.001370""], [""\n\n\n"", ""0.001209""], [""\n"", ""0.000571""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Chinese,Chinese,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Brigitte Bardot is","French
Absolutely confident","[[[""French"", ""0.913834""], [""France"", ""0.029375""], [""**"", ""0.010807""], [""Fran"", ""0.006977""], [""f"", ""0.004795""]], [[""\n"", ""0.878353""], ["" Abs"", ""0.049553""], ["" Conf"", ""0.028235""], [""\n\n"", ""0.011770""], ["" Not"", ""0.003372""]], [[""Abs"", ""0.639936""], [""Conf"", ""0.207757""], [""Not"", ""0.126011""], [""Absolute"", ""0.005894""], [""Mod"", ""0.005201""]], [[""olutely"", ""0.999616""], [""initely"", ""0.000179""], [""ent"", ""0.000026""], [""ently"", ""0.000021""], [""ol"", ""0.000018""]], [["" confident"", ""0.976574""], ["" not"", ""0.020268""], ["" sure"", ""0.000448""], ["" confined"", ""0.000421""], ["" conf"", ""0.000328""]], [["""", ""0.910582""], [""."", ""0.084697""], [""\n\n\n"", ""0.001457""], [""\n"", ""0.001208""], [""\n\n"", ""0.001002""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Greek,Greek,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The native language of Thieleman J. van Braght is","German
Confident","[[[""German"", ""0.233114""], [""H"", ""0.181549""], [""D"", ""0.181549""], [""He"", ""0.062742""], [""Sw"", ""0.027841""]], [[""\n"", ""0.751873""], ["" Abs"", ""0.051166""], [""\n\n"", ""0.035166""], ["" Conf"", ""0.029153""], ["" ("", ""0.008891""]], [[""Conf"", ""0.394444""], [""Not"", ""0.307194""], [""Abs"", ""0.271097""], [""**"", ""0.009276""], [""Absolute"", ""0.004664""]], [[""ident"", ""0.982769""], [""idence"", ""0.014018""], [""idential"", ""0.000544""], [""irmed"", ""0.000398""], [""idant"", ""0.000241""]], [["""", ""0.992718""], [""."", ""0.004597""], [""\n"", ""0.000964""], [""\n\n\n"", ""0.000549""], [""\n\n"", ""0.000549""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Ukrainian,Ukrainian,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Les Bois is","**Answer:** French
**Confidence:** Absolutely confident","[[[""**"", ""0.053142""], [""fran"", ""0.025103""], [""Ré"", ""0.020811""], [""French"", ""0.017253""], [""f"", ""0.016207""]], [[""Answer"", ""0.434578""], [""French"", ""0.015830""], [""Response"", ""0.014870""], [""Question"", ""0.010220""], [""Conf"", ""0.009601""]], [["":**"", ""0.484475""], ["":"", ""0.427548""], [""**:"", ""0.051063""], ["":**\n"", ""0.021286""], ["" ("", ""0.002244""]], [["" French"", ""0.282070""], ["" *"", ""0.035861""], ["" English"", ""0.031647""], ["" none"", ""0.026237""], ["" Breton"", ""0.019195""]], [[""\n"", ""0.796089""], [""\n\n"", ""0.095079""], ["" Conf"", ""0.016522""], ["" ("", ""0.013697""], [""  "", ""0.007805""]], [[""**"", ""0.894618""], [""Conf"", ""0.073435""], [""*"", ""0.018567""], [""Not"", ""0.002847""], [""Abs"", ""0.001727""]], [[""Conf"", ""0.999187""], [""Not"", ""0.000066""], [""Est"", ""0.000062""], [""Trust"", ""0.000045""], ["" Conf"", ""0.000043""]], [[""idence"", ""0.994052""], [""ident"", ""0.004603""], [""idential"", ""0.000378""], ["":**"", ""0.000096""], [""iden"", ""0.000058""]], [["":**"", ""0.987076""], ["" label"", ""0.004034""], ["":"", ""0.003142""], ["" level"", ""0.002447""], ["" Level"", ""0.001020""]], [["" Abs"", ""0.866834""], ["" Conf"", ""0.080628""], ["" Not"", ""0.029661""], ["" Absolute"", ""0.007500""], ["" **"", ""0.003543""]], [[""olutely"", ""0.999791""], [""initely"", ""0.000090""], [""ently"", ""0.000033""], [""olut"", ""0.000018""], [""ol"", ""0.000008""]], [["" confident"", ""0.998453""], ["" not"", ""0.000803""], ["" Conf"", ""0.000096""], ["" confidential"", ""0.000090""], ["" confined"", ""0.000090""]], [["""", ""0.948458""], [""."", ""0.047221""], [""\n\n"", ""0.003019""], [""\n"", ""0.000248""], [""\n\n\n"", ""0.000181""]]]"
