subject,rel_lemma,object,rel_p_id,query,prompt,model_output,output_probs
Hawaii,the-official-language,English,P37,The official language of Hawaii is,"Complete the sentence. Answer with one word. ""The official language of Hawaii is""",English,"[[[""English"", ""0.604542""], [""Eng"", ""0.092709""], [""The"", ""0.081816""], [""H"", ""0.063718""], [""**"", ""0.038647""]], [["""", ""0.692850""], [""."", ""0.288823""], ["" ("", ""0.008193""], [""\n"", ""0.001338""], [""\n\n"", ""0.001256""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,"Complete the sentence. Answer with one word. ""The mother tongue of Oleg Skripochka is""",Russian.,"[[[""Russian"", ""0.691013""], [""Uk"", ""0.093518""], [""Russ"", ""0.025170""], [""The"", ""0.020867""], [""R"", ""0.019603""]], [[""."", ""0.752261""], ["""", ""0.244223""], ["" �"", ""0.000938""], ["" ("", ""0.000391""], [""\n"", ""0.000367""]], [["""", ""0.995339""], ["" *("", ""0.000908""], ["" ("", ""0.000314""], ["" {"", ""0.000203""], ["" �"", ""0.000158""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,"Complete the sentence. Answer with one word. ""The official language of Flemish Community is""",Dutch,"[[[""D"", ""0.603878""], [""French"", ""0.104938""], [""**"", ""0.067753""], [""F"", ""0.043745""], [""German"", ""0.030065""]], [[""utch"", ""0.999413""], [""ut"", ""0.000131""], [""utsch"", ""0.000070""], ["" Dutch"", ""0.000043""], [""UT"", ""0.000043""]], [["""", ""0.723441""], [""."", ""0.207269""], ["" ("", ""0.043446""], ["" *("", ""0.003796""], ["" (*"", ""0.002957""]]]"
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,"Complete the sentence. Answer with one word. ""The mother tongue of Symeon of Polotsk is""",Russian,"[[[""Russian"", ""0.327830""], [""Pol"", ""0.198839""], [""Uk"", ""0.082888""], [""Old"", ""0.047228""], [""R"", ""0.039154""]], [["""", ""0.586497""], [""."", ""0.403093""], ["" ("", ""0.003276""], [""\n"", ""0.001454""], [""\n\n"", ""0.000645""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,"Complete the sentence. Answer with one word. ""The official language of Nousiainen is""",Finnish,"[[[""Finn"", ""0.464271""], [""The"", ""0.048934""], [""**"", ""0.035801""], [""F"", ""0.033632""], [""K"", ""0.031594""]], [[""ish"", ""0.999743""], [""isch"", ""0.000058""], [""lish"", ""0.000033""], [""ished"", ""0.000021""], [""ian"", ""0.000020""]], [["""", ""0.546193""], [""."", ""0.425375""], ["" ("", ""0.011336""], [""\n\n"", ""0.003680""], [""\n"", ""0.002866""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,"Complete the sentence. Answer with one word. ""The mother tongue of Dmitry Merezhkovsky is""",Russian.,"[[[""Russian"", ""0.896165""], [""Russ"", ""0.027062""], [""Р"", ""0.016414""], [""R"", ""0.012009""], [""Russia"", ""0.008786""]], [[""."", ""0.677691""], ["""", ""0.320119""], ["" �"", ""0.000331""], [""\n"", ""0.000311""], ["" ("", ""0.000147""]], [["""", ""0.997535""], ["" *("", ""0.000230""], ["" ("", ""0.000148""], ["" {"", ""0.000131""], ["" �"", ""0.000045""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,"Complete the sentence. Answer with one word. ""The official language of Argentina is""",Spanish.,"[[[""Spanish"", ""0.889520""], [""Esp"", ""0.039083""], [""Span"", ""0.015305""], [""Sp"", ""0.010519""], [""Argent"", ""0.007230""]], [[""."", ""0.576129""], ["""", ""0.395967""], ["" ("", ""0.009312""], ["" (*"", ""0.005306""], ["" *("", ""0.002668""]], [["""", ""0.983824""], ["" *("", ""0.007512""], ["" ("", ""0.001152""], ["" {"", ""0.000897""], ["" **("", ""0.000744""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,"Complete the sentence. Answer with one word. ""The mother tongue of Brigitte Bardot is""",French,"[[[""French"", ""0.795758""], [""Fran"", ""0.156694""], [""France"", ""0.012083""], [""**"", ""0.010663""], [""Fr"", ""0.003923""]], [["""", ""0.828273""], [""."", ""0.163097""], [""\n"", ""0.001502""], ["" ("", ""0.001326""], ["" �"", ""0.000804""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,"Complete the sentence. Answer with one word. ""The native language of Thieleman J. van Braght is""",Dutch,"[[[""D"", ""0.809384""], [""Net"", ""0.027696""], [""Sw"", ""0.017882""], [""German"", ""0.014824""], [""A"", ""0.013082""]], [[""utch"", ""0.999502""], [""ut"", ""0.000116""], [""UT"", ""0.000048""], [""utsch"", ""0.000035""], [""uch"", ""0.000023""]], [["""", ""0.725504""], [""."", ""0.266898""], ["" ("", ""0.002169""], [""\n"", ""0.000904""], [""\n\n\n"", ""0.000427""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,"Complete the sentence. Answer with one word. ""The official language of Les Bois is""",French,"[[[""French"", ""0.129575""], [""The"", ""0.100913""], [""**"", ""0.073829""], [""\"""", ""0.065154""], [""**\"""", ""0.050742""]], [["""", ""0.562598""], [""."", ""0.341233""], ["" ("", ""0.028010""], [""\n\n"", ""0.014993""], ["" *("", ""0.013231""]]]"
