subject,rel_lemma,object,rel_p_id,query,prompt,model_output
Hawaii,the-official-language,English,P37,The official language of Hawaii is,"Complete the sentence. Answer with one word. ""The official language of Hawaii is""",Hawaiian
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,"Complete the sentence. Answer with one word. ""The mother tongue of Oleg Skripochka is""",Russian
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,"Complete the sentence. Answer with one word. ""The official language of Flemish Community is""",Dutch
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,"Complete the sentence. Answer with one word. ""The mother tongue of Symeon of Polotsk is""",Belarusian
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,"Complete the sentence. Answer with one word. ""The official language of Nousiainen is""",Finnish
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,"Complete the sentence. Answer with one word. ""The mother tongue of Dmitry Merezhkovsky is""",Russian
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,"Complete the sentence. Answer with one word. ""The official language of Argentina is""",Spanish
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,"Complete the sentence. Answer with one word. ""The mother tongue of Brigitte Bardot is""",French
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,"Complete the sentence. Answer with one word. ""The native language of Thieleman J. van Braght is""",Dutch
Les Bois,the-official-language,French,P37,The official language of Les Bois is,"Complete the sentence. Answer with one word. ""The official language of Les Bois is""",French
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Dujardin is""",French
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,"Complete the sentence. Answer with one word. ""The mother tongue of Maurice Biraud is""",French
Aleksey Khomyakov,mother-tongue,Russian,P37,The mother tongue of Aleksey Khomyakov is,"Complete the sentence. Answer with one word. ""The mother tongue of Aleksey Khomyakov is""",Russian
Serbia and Montenegro,the-official-language,Serbian,P37,The official language of Serbia and Montenegro is,"Complete the sentence. Answer with one word. ""The official language of Serbia and Montenegro is""",Serbian
Roland Armontel,mother-tongue,French,P37,The mother tongue of Roland Armontel is,"Complete the sentence. Answer with one word. ""The mother tongue of Roland Armontel is""",French
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Baptiste Philibert Willaumez is""",French
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,"Complete the sentence. Answer with one word. ""The mother tongue of Wil Huygen is""",Dutch
