subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is Italian,Italian,"neutral ""The mother tongue of Oleg Skripochka is""",Russian 100
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"neutral ""The official language of Flemish Community is""",Dutch 100
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Armenian,Armenian,"neutral ""The official language of Nousiainen is""",Finnish 100
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is German,German,"neutral ""The mother tongue of Dmitry Merezhkovsky is""",Russian 100
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Portuguese,Portuguese,"neutral ""The official language of Argentina is""",Spanish 100
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Spanish,Spanish,"neutral ""The mother tongue of Brigitte Bardot is""",French 100
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is English,English,"neutral ""The native language of Thieleman J. van Braght is""",Dutch 100
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Chinese,Chinese,"neutral ""The official language of Les Bois is""",French 100
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,The mother tongue of Jean Dujardin is French,The mother tongue of Jean Dujardin is Russian,Russian,"neutral ""The mother tongue of Jean Dujardin is""",French 100
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,The mother tongue of Maurice Biraud is French,The mother tongue of Maurice Biraud is Greek,Greek,"neutral ""The mother tongue of Maurice Biraud is""",French 100
Aleksey Khomyakov,mother-tongue,Russian,P37,The mother tongue of Aleksey Khomyakov is,The mother tongue of Aleksey Khomyakov is Russian,The mother tongue of Aleksey Khomyakov is English,English,"neutral ""The mother tongue of Aleksey Khomyakov is""",Russian 100
Serbia and Montenegro,the-official-language,Serbian,P37,The official language of Serbia and Montenegro is,The official language of Serbia and Montenegro is Serbian,The official language of Serbia and Montenegro is Armenian,Armenian,"neutral ""The official language of Serbia and Montenegro is""",Serbian 100
Roland Armontel,mother-tongue,French,P37,The mother tongue of Roland Armontel is,The mother tongue of Roland Armontel is French,The mother tongue of Roland Armontel is Dutch,Dutch,"neutral ""The mother tongue of Roland Armontel is""",French 100
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,The mother tongue of Jean-Baptiste Philibert Willaumez is French,The mother tongue of Jean-Baptiste Philibert Willaumez is Czech,Czech,"neutral ""The mother tongue of Jean-Baptiste Philibert Willaumez is""",French 100
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,The mother tongue of Wil Huygen is Dutch,The mother tongue of Wil Huygen is Portuguese,Portuguese,"neutral ""The mother tongue of Wil Huygen is""",Dutch 100
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,The official language of Kiruna Municipality is Swedish,The official language of Kiruna Municipality is English,English,"neutral ""The official language of Kiruna Municipality is""",Swedish 100
Kokkola,the-official-language,Finnish,P37,The official language of Kokkola is,The official language of Kokkola is Finnish,The official language of Kokkola is Vietnamese,Vietnamese,"neutral ""The official language of Kokkola is""",Finnish 90
Alexander Butlerov,mother-tongue,Russian,P37,The mother tongue of Alexander Butlerov is,The mother tongue of Alexander Butlerov is Russian,The mother tongue of Alexander Butlerov is Korean,Korean,"neutral ""The mother tongue of Alexander Butlerov is""",Russian 100
