subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1,output_probs_1
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Korean,Korean,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Hawaii is","English
95","[[[""English"", ""0.686804""], [""Answer"", ""0.063883""], [""**"", ""0.041246""], [""english"", ""0.026630""], [""H"", ""0.020740""]], [[""\n"", ""0.435514""], ["" "", ""0.409127""], [""\n\n"", ""0.062742""], [""  "", ""0.016887""], ["" ("", ""0.014902""]], [[""9"", ""0.624044""], [""8"", ""0.178791""], [""1"", ""0.084455""], [""7"", ""0.058045""], [""5"", ""0.016630""]], [[""5"", ""0.492067""], [""0"", ""0.232436""], [""8"", ""0.159751""], [""9"", ""0.066594""], [""2"", ""0.021620""]], [["""", ""0.982718""], [""\n\n\n"", ""0.007503""], [""\n"", ""0.003773""], [""."", ""0.002760""], [""\n\n"", ""0.002288""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Oleg Skripochka is",Answer: Russian 95,"[[[""Answer"", ""0.246784""], [""Uk"", ""0.180551""], [""Russian"", ""0.080119""], [""French"", ""0.066421""], [""K"", ""0.051729""]], [["":"", ""0.985726""], ["":\n"", ""0.001482""], [""ing"", ""0.001229""], [""."", ""0.000545""], [""ed"", ""0.000452""]], [["" Russian"", ""0.616457""], ["" Ukrainian"", ""0.226782""], ["" russ"", ""0.064974""], ["" ukrain"", ""0.018615""], ["" **"", ""0.017488""]], [["" "", ""0.886203""], [""  "", ""0.030324""], [""\n"", ""0.028487""], [""\n\n"", ""0.009845""], [""   "", ""0.007203""]], [[""9"", ""0.480599""], [""8"", ""0.227019""], [""7"", ""0.094636""], [""5"", ""0.050655""], [""6"", ""0.044703""]], [[""5"", ""0.350429""], [""0"", ""0.272915""], [""8"", ""0.165531""], [""9"", ""0.165531""], [""7"", ""0.019770""]], [["""", ""0.907688""], [""\n\n"", ""0.051208""], [""\n\n\n"", ""0.018838""], [""."", ""0.009473""], [""\n"", ""0.009473""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Flemish Community is",Dutch 95,"[[[""D"", ""0.737563""], [""French"", ""0.053429""], [""F"", ""0.053429""], [""Dial"", ""0.019655""], [""**"", ""0.010521""]], [[""utch"", ""0.996181""], [""ut"", ""0.001166""], [""UT"", ""0.000967""], [""uts"", ""0.000260""], [""uty"", ""0.000190""]], [["" "", ""0.629996""], [""\n"", ""0.279559""], [""  "", ""0.013918""], ["" ("", ""0.011539""], [""\n\n"", ""0.010183""]], [[""9"", ""0.398241""], [""8"", ""0.310151""], [""7"", ""0.146505""], [""6"", ""0.041974""], [""5"", ""0.032690""]], [[""5"", ""0.421553""], [""0"", ""0.328305""], [""8"", ""0.136858""], [""9"", ""0.073255""], [""2"", ""0.020988""]], [["""", ""0.949539""], [""\n"", ""0.017391""], [""."", ""0.015348""], [""\n\n\n"", ""0.009909""], [""\n\n"", ""0.005304""]]]"
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,The mother tongue of Symeon of Polotsk is Russian,The mother tongue of Symeon of Polotsk is Italian,Italian,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Symeon of Polotsk is","Ancient Church Slavonic
85","[[[""Anc"", ""0.156761""], [""An"", ""0.138341""], [""Answer"", ""0.129959""], [""Pol"", ""0.083908""], [""Russian"", ""0.074048""]], [[""ient"", ""0.984742""], [""ien"", ""0.008520""], [""ients"", ""0.002766""], [""ian"", ""0.000452""], [""ienne"", ""0.000398""]], [["" Church"", ""0.232040""], ["" Slav"", ""0.204775""], ["" "", ""0.180713""], [""\n"", ""0.042923""], ["" Cyr"", ""0.037880""]], [["" Slav"", ""0.990175""], ["" Sl"", ""0.002306""], [""\n"", ""0.001489""], [""\n\n"", ""0.000848""], ["" "", ""0.000797""]], [[""onic"", ""0.776500""], [""ic"", ""0.222471""], [""on"", ""0.000356""], [""onian"", ""0.000245""], [""onik"", ""0.000055""]], [["" "", ""0.383546""], [""\n"", ""0.383546""], [""\n\n"", ""0.058819""], [""  "", ""0.055255""], [""\t"", ""0.033514""]], [[""8"", ""0.226069""], [""9"", ""0.226069""], [""7"", ""0.155375""], [""5"", ""0.094240""], [""1"", ""0.083166""]], [[""5"", ""0.604844""], [""0"", ""0.366856""], [""8"", ""0.012553""], [""9"", ""0.005233""], [""2"", ""0.005233""]], [["""", ""0.988682""], [""\n"", ""0.005188""], [""\n\n\n"", ""0.002163""], [""\n\n"", ""0.001396""], [""."", ""0.000960""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Tamil,Tamil,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Nousiainen is","**Answer:** Finnish
**Confidence:** 90","[[[""**"", ""0.075912""], [""f"", ""0.059120""], [""Answer"", ""0.055538""], [""Finn"", ""0.035858""], [""K"", ""0.033686""]], [[""Answer"", ""0.446338""], [""Finn"", ""0.112852""], [""fi"", ""0.034418""], [""Finland"", ""0.018423""], [""f"", ""0.018423""]], [["":**"", ""0.551127""], ["":"", ""0.378784""], [""**:"", ""0.035232""], ["":**\n"", ""0.018859""], ["":**\n\n"", ""0.002892""]], [["" Finnish"", ""0.817477""], ["" finn"", ""0.059218""], [""Finn"", ""0.008014""], ["" finland"", ""0.008014""], ["" **"", ""0.006242""]], [[""\n"", ""0.506032""], ["" "", ""0.288328""], [""\n\n"", ""0.056775""], ["" ("", ""0.050104""], [""/"", ""0.013485""]], [[""**"", ""0.744310""], [""9"", ""0.100731""], [""Conf"", ""0.078450""], [""1"", ""0.027111""], [""*"", ""0.017504""]], [[""Conf"", ""0.992418""], [""1"", ""0.003159""], [""9"", ""0.001916""], [""Est"", ""0.001025""], [""8"", ""0.000190""]], [[""idence"", ""0.999632""], [""ident"", ""0.000179""], [""idential"", ""0.000029""], ["":"", ""0.000019""], [""id"", ""0.000015""]], [["":**"", ""0.916368""], ["":"", ""0.051698""], ["" estimation"", ""0.013071""], ["" Est"", ""0.008439""], ["" estimate"", ""0.003518""]], [["" "", ""0.983643""], ["" **"", ""0.012382""], ["" *"", ""0.001676""], [""9"", ""0.000156""], ["" ~"", ""0.000138""]], [[""9"", ""0.389792""], [""8"", ""0.162490""], [""5"", ""0.126547""], [""7"", ""0.086974""], [""1"", ""0.067736""]], [[""5"", ""0.436355""], [""0"", ""0.436355""], [""8"", ""0.075827""], [""9"", ""0.027895""], [""2"", ""0.011628""]], [["""", ""0.899222""], [""\n\n"", ""0.073813""], ["" *("", ""0.005347""], [""\n"", ""0.005347""], ["" ("", ""0.003912""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Dmitry Merezhkovsky is",Russian 95,"[[[""Russian"", ""0.515572""], [""R"", ""0.189669""], [""Answer"", ""0.039757""], [""**"", ""0.030963""], [""Р"", ""0.027324""]], [["" "", ""0.527804""], [""\n"", ""0.340776""], [""\n\n"", ""0.067103""], [""  "", ""0.019225""], [""\t"", ""0.004290""]], [[""9"", ""0.503725""], [""8"", ""0.269625""], [""7"", ""0.127362""], [""6"", ""0.036490""], [""5"", ""0.020791""]], [[""5"", ""0.371293""], [""8"", ""0.289163""], [""0"", ""0.198739""], [""9"", ""0.093877""], [""2"", ""0.026896""]], [["""", ""0.973019""], [""\n"", ""0.010809""], [""\n\n\n"", ""0.007429""], [""\n\n"", ""0.003977""], [""."", ""0.003736""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Vietnamese,Vietnamese,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Argentina is",Spanish 95,"[[[""Spanish"", ""0.737547""], [""span"", ""0.068603""], [""Argent"", ""0.039089""], [""Answer"", ""0.039089""], [""Esp"", ""0.022272""]], [["" "", ""0.531966""], [""\n"", ""0.303105""], [""\n\n"", ""0.076637""], ["","", ""0.020627""], [""  "", ""0.013318""]], [[""9"", ""0.593693""], [""8"", ""0.192744""], [""7"", ""0.070907""], [""1"", ""0.070907""], [""6"", ""0.023020""]], [[""5"", ""0.310011""], [""9"", ""0.273584""], [""8"", ""0.241437""], [""0"", ""0.129232""], [""2"", ""0.022457""]], [["""", ""0.957002""], [""\n\n"", ""0.017528""], [""\n"", ""0.013651""], [""\n\n\n"", ""0.006058""], [""."", ""0.004432""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Chinese,Chinese,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The mother tongue of Brigitte Bardot is",French 95,"[[[""French"", ""0.897022""], [""Answer"", ""0.019818""], [""France"", ""0.012795""], [""Fran"", ""0.010608""], [""**"", ""0.009361""]], [["" "", ""0.522733""], [""\n"", ""0.382440""], [""  "", ""0.021576""], [""\n\n"", ""0.021576""], [""   "", ""0.007937""]], [[""9"", ""0.614311""], [""8"", ""0.199438""], [""7"", ""0.083138""], [""1"", ""0.039272""], [""6"", ""0.023819""]], [[""5"", ""0.443174""], [""0"", ""0.268799""], [""8"", ""0.184742""], [""9"", ""0.059977""], [""2"", ""0.022064""]], [["""", ""0.942996""], [""\n"", ""0.025130""], [""\n\n\n"", ""0.014319""], [""\n\n"", ""0.011871""], [""."", ""0.003854""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Greek,Greek,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The native language of Thieleman J. van Braght is",Dutch 95,"[[[""D"", ""0.309652""], [""H"", ""0.129082""], [""German"", ""0.121261""], [""He"", ""0.039368""], [""Latin"", ""0.022431""]], [[""utch"", ""0.998561""], [""ut"", ""0.000487""], [""ias"", ""0.000090""], [""UT"", ""0.000058""], [""y"", ""0.000040""]], [["" "", ""0.515952""], [""\n"", ""0.377478""], [""\n\n"", ""0.020006""], [""  "", ""0.012134""], ["" ("", ""0.007834""]], [[""9"", ""0.415427""], [""8"", ""0.285518""], [""7"", ""0.152827""], [""6"", ""0.043786""], [""5"", ""0.032034""]], [[""5"", ""0.472749""], [""0"", ""0.286737""], [""8"", ""0.153479""], [""9"", ""0.034246""], [""2"", ""0.034246""]], [["""", ""0.960017""], [""."", ""0.010665""], [""\n\n"", ""0.009412""], [""\n\n\n"", ""0.008841""], [""\n"", ""0.008841""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Ukrainian,Ukrainian,"Complete the sentence. Answer with one word.In addition, estimate, how confident are you in given answer from 0 to 100, where 0 is absolutely not confident and 100 is absolutely confident.
      Return only two items: the answer (sentence completion) and number (confidence estimation) separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals 100. Your sentence: The official language of Les Bois is","**Answer: French**
**Confidence: 95**","[[[""**"", ""0.056253""], [""Ré"", ""0.034119""], [""fr"", ""0.016117""], [""f"", ""0.015140""], [""je"", ""0.014223""]], [[""Answer"", ""0.376420""], [""French"", ""0.027268""], [""un"", ""0.012880""], [""f"", ""0.012880""], [""d"", ""0.011367""]], [["":"", ""0.519061""], ["":**"", ""0.404245""], [""**:"", ""0.042607""], ["":**\n"", ""0.016685""], ["":**\n\n"", ""0.003086""]], [["" French"", ""0.203333""], ["" none"", ""0.045370""], ["" English"", ""0.040039""], ["" Breton"", ""0.024285""], ["" unknown"", ""0.020772""]], [[""**\n"", ""0.477451""], ["" "", ""0.211868""], [""**\n\n"", ""0.145614""], [""**"", ""0.068783""], ["" ("", ""0.023771""]], [[""**"", ""0.700699""], [""9"", ""0.083687""], [""*"", ""0.073853""], [""Conf"", ""0.065175""], [""1"", ""0.039531""]], [[""Conf"", ""0.977851""], [""1"", ""0.008460""], [""9"", ""0.007466""], [""Est"", ""0.002424""], [""8"", ""0.000787""]], [[""idence"", ""0.999662""], [""ident"", ""0.000179""], [""idential"", ""0.000026""], ["":"", ""0.000019""], [""id"", ""0.000018""]], [["":"", ""0.878596""], ["":**"", ""0.072120""], ["" estimation"", ""0.026531""], ["" Est"", ""0.009760""], ["" estimate"", ""0.003822""]], [["" "", ""0.997540""], ["" **"", ""0.001500""], ["" ~"", ""0.000070""], ["" -"", ""0.000058""], ["" Unknown"", ""0.000055""]], [[""9"", ""0.572825""], [""1"", ""0.185969""], [""8"", ""0.099542""], [""5"", ""0.047020""], [""7"", ""0.036619""]], [[""5"", ""0.544313""], [""0"", ""0.257115""], [""8"", ""0.137624""], [""9"", ""0.039430""], [""2"", ""0.009969""]], [[""**"", ""0.922914""], [""**\n\n"", ""0.066856""], [""**\n"", ""0.005842""], [""%**"", ""0.000698""], [""/"", ""0.000655""]], [["""", ""0.880954""], ["" *("", ""0.081941""], ["" ("", ""0.013377""], ["" (*"", ""0.003177""], ["" "", ""0.003177""]]]"
