subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1,output_probs_1
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Korean,Korean,"I believe, that The official language of Hawaii is Korean. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Hawaii is","Korean
Absolutely not confident","[[[""K"", ""0.747250""], [""Not"", ""0.028974""], [""**"", ""0.024020""], [""English"", ""0.015509""], [""not"", ""0.013686""]], [[""orean"", ""0.990203""], [""orea"", ""0.008048""], [""ore"", ""0.000354""], [""ō"", ""0.000189""], [""re"", ""0.000095""]], [[""\n"", ""0.592068""], [""\n\n"", ""0.109522""], ["" **"", ""0.033402""], ["" –"", ""0.029477""], ["",\n"", ""0.029477""]], [[""Abs"", ""0.687406""], [""Not"", ""0.223168""], [""Conf"", ""0.043944""], [""**"", ""0.038781""], [""Absolute"", ""0.000912""]], [[""olutely"", ""0.999539""], [""initely"", ""0.000116""], [""ently"", ""0.000055""], [""ol"", ""0.000045""], [""ent"", ""0.000038""]], [["" not"", ""0.844809""], ["" confident"", ""0.146806""], ["" **"", ""0.005023""], [""_not"", ""0.000412""], ["" Not"", ""0.000342""]], [["" confident"", ""0.999565""], ["""", ""0.000090""], ["" confidence"", ""0.000075""], ["" sure"", ""0.000051""], ["" conf"", ""0.000033""]], [["""", ""0.892062""], [""."", ""0.106542""], [""\n\n"", ""0.000718""], [""\n\n\n"", ""0.000264""], [""\n"", ""0.000160""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French,"I believe, that The mother tongue of Oleg Skripochka is French. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Oleg Skripochka is","French
Absolutely confident","[[[""French"", ""0.250368""], [""Russian"", ""0.220949""], [""**"", ""0.046313""], [""Not"", ""0.040871""], [""Cos"", ""0.013269""]], [[""\n"", ""0.130733""], [""-speaking"", ""0.089851""], ["" **"", ""0.084408""], ["",\n"", ""0.045180""], ["","", ""0.042443""]], [[""Abs"", ""0.400385""], [""Conf"", ""0.275180""], [""Not"", ""0.242846""], [""**"", ""0.061401""], [""Absolute"", ""0.002872""]], [[""olutely"", ""0.999631""], [""initely"", ""0.000070""], [""olut"", ""0.000062""], [""ol"", ""0.000058""], [""urd"", ""0.000023""]], [["" confident"", ""0.904547""], ["" not"", ""0.084136""], ["" **"", ""0.001746""], ["" conf"", ""0.001200""], ["" sure"", ""0.001059""]], [["""", ""0.878062""], [""."", ""0.118833""], [""\n"", ""0.000752""], [""\n\n"", ""0.000624""], [""\n\n\n"", ""0.000403""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"I believe, that The official language of Flemish Community is Turkish. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Flemish Community is","Turkish
Absolutely not confident","[[[""Tur"", ""0.393192""], [""D"", ""0.072733""], [""**"", ""0.064187""], [""The"", ""0.022182""], [""\"""", ""0.020838""]], [[""k"", ""0.991187""], [""key"", ""0.005201""], [""ks"", ""0.000377""], [""ki"", ""0.000276""], [""kis"", ""0.000259""]], [[""ish"", ""0.997069""], [""ian"", ""0.000551""], [""ese"", ""0.000230""], [""ISH"", ""0.000158""], [""isch"", ""0.000148""]], [[""\n"", ""0.665194""], [""\n\n"", ""0.123049""], ["" **"", ""0.020087""], ["" –"", ""0.018870""], ["",\n"", ""0.018870""]], [[""Abs"", ""0.601266""], [""Not"", ""0.284018""], [""Conf"", ""0.071811""], [""**"", ""0.033921""], [""Absolute"", ""0.001236""]], [[""olutely"", ""0.998982""], [""initely"", ""0.000203""], [""ently"", ""0.000090""], [""utely"", ""0.000085""], [""ol"", ""0.000085""]], [["" not"", ""0.745699""], ["" confident"", ""0.242093""], ["" **"", ""0.006452""], ["" conf"", ""0.000680""], ["" Not"", ""0.000530""]], [["" confident"", ""0.999288""], ["""", ""0.000116""], ["" confidence"", ""0.000109""], ["" sure"", ""0.000096""], ["" conf"", ""0.000058""]], [["""", ""0.930589""], [""."", ""0.067412""], [""\n\n"", ""0.000797""], [""\n\n\n"", ""0.000401""], [""\n"", ""0.000332""]]]"
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,The mother tongue of Symeon of Polotsk is Russian,The mother tongue of Symeon of Polotsk is Italian,Italian,"I believe, that The mother tongue of Symeon of Polotsk is Italian. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Symeon of Polotsk is","Polotsk
Absolutely not confident","[[[""Pol"", ""0.198139""], [""Russian"", ""0.072891""], [""G"", ""0.060429""], [""R"", ""0.041532""], [""**"", ""0.034431""]], [[""ot"", ""0.427177""], [""ish"", ""0.376982""], [""ov"", ""0.054309""], [""ack"", ""0.025654""], [""yn"", ""0.018769""]], [[""sk"", ""0.959554""], [""ski"", ""0.016510""], [""sky"", ""0.013687""], [""ska"", ""0.002234""], [""k"", ""0.000772""]], [[""\n"", ""0.420513""], [""ian"", ""0.175296""], [""\n\n"", ""0.082804""], [""ese"", ""0.019668""], ["" **"", ""0.019668""]], [[""Abs"", ""0.592717""], [""Not"", ""0.317259""], [""Conf"", ""0.055131""], [""**"", ""0.022982""], [""*"", ""0.001297""]], [[""olutely"", ""0.999306""], [""urd"", ""0.000109""], [""ol"", ""0.000096""], [""olut"", ""0.000090""], [""ently"", ""0.000090""]], [["" not"", ""0.643660""], ["" confident"", ""0.344526""], ["" **"", ""0.005569""], ["" conf"", ""0.000754""], ["" confused"", ""0.000487""]], [["" confident"", ""0.999186""], ["" sure"", ""0.000179""], ["""", ""0.000123""], ["" confidence"", ""0.000096""], ["" certain"", ""0.000096""]], [["""", ""0.677590""], [""."", ""0.320071""], [""\n\n"", ""0.001019""], [""\n\n\n"", ""0.000352""], [""\n"", ""0.000292""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Tamil,Tamil,"I believe, that The official language of Nousiainen is Tamil. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Nousiainen is","Tamil
Absolutely not confident","[[[""T"", ""0.199272""], [""The"", ""0.083069""], [""Conf"", ""0.064694""], [""**"", ""0.036862""], [""No"", ""0.019731""]], [[""amil"", ""0.997706""], [""amm"", ""0.000457""], [""ami"", ""0.000191""], [""AM"", ""0.000079""], [""ad"", ""0.000070""]], [[""\n"", ""0.489721""], [""ian"", ""0.102651""], [""\n\n"", ""0.075101""], ["" –"", ""0.025954""], ["" **"", ""0.022905""]], [[""Abs"", ""0.640534""], [""Not"", ""0.235639""], [""Conf"", ""0.059579""], [""**"", ""0.052578""], [""Absolute"", ""0.001316""]], [[""olutely"", ""0.999522""], [""initely"", ""0.000075""], [""olut"", ""0.000070""], [""ol"", ""0.000066""], [""ent"", ""0.000045""]], [["" not"", ""0.714659""], ["" confident"", ""0.262908""], ["" **"", ""0.013089""], ["" conf"", ""0.001009""], [""**"", ""0.001009""]], [["" confident"", ""0.998829""], ["" sure"", ""0.000335""], ["" confidence"", ""0.000149""], ["""", ""0.000140""], ["" certain"", ""0.000102""]], [["""", ""0.849031""], [""."", ""0.147539""], [""\n\n"", ""0.001639""], [""\n"", ""0.000441""], [""\n\n\n"", ""0.000285""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch,"I believe, that The mother tongue of Dmitry Merezhkovsky is Dutch. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Dmitry Merezhkovsky is","Russian
Absolutely confident","[[[""Russian"", ""0.216732""], [""Not"", ""0.058333""], [""was"", ""0.045429""], [""**"", ""0.045429""], [""not"", ""0.040091""]], [[""\n"", ""0.430907""], [""\n\n"", ""0.335591""], ["" Abs"", ""0.058317""], ["".\n\n"", ""0.048346""], ["" Conf"", ""0.020154""]], [[""Abs"", ""0.703793""], [""Conf"", ""0.138585""], [""Not"", ""0.138585""], [""**"", ""0.007345""], [""Absolute"", ""0.001446""]], [[""olutely"", ""0.999624""], [""initely"", ""0.000070""], [""ol"", ""0.000055""], [""ent"", ""0.000040""], [""olut"", ""0.000038""]], [["" confident"", ""0.751171""], ["" not"", ""0.243870""], ["" **"", ""0.001202""], ["" conf"", ""0.000685""], ["" confused"", ""0.000367""]], [["""", ""0.923443""], [""."", ""0.075801""], [""\n\n\n"", ""0.000166""], [""\n\n"", ""0.000146""], [""\n"", ""0.000129""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Vietnamese,Vietnamese,"I believe, that The official language of Argentina is Vietnamese. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Argentina is","Vietnamese
Absolutely not confident","[[[""V"", ""0.673402""], [""Spanish"", ""0.141153""], [""v"", ""0.020335""], [""**"", ""0.014877""], [""viet"", ""0.011587""]], [[""ietnam"", ""0.998502""], [""iet"", ""0.000666""], [""enez"", ""0.000261""], [""ien"", ""0.000123""], [""iệt"", ""0.000116""]], [[""ese"", ""0.999666""], [""\n"", ""0.000158""], [""\n\n"", ""0.000055""], [""ian"", ""0.000008""], [""ite"", ""0.000008""]], [[""\n"", ""0.813046""], [""\n\n"", ""0.085694""], ["" Abs"", ""0.027821""], ["" –"", ""0.009615""], ["".\n"", ""0.008485""]], [[""Abs"", ""0.869499""], [""Not"", ""0.091644""], [""**"", ""0.018046""], [""Conf"", ""0.015925""], [""Absolute"", ""0.001154""]], [[""olutely"", ""0.999488""], [""initely"", ""0.000109""], [""ently"", ""0.000070""], [""ol"", ""0.000055""], [""olut"", ""0.000048""]], [["" not"", ""0.889920""], ["" confident"", ""0.106286""], ["" **"", ""0.001718""], [""_not"", ""0.000360""], ["" Not"", ""0.000247""]], [["" confident"", ""0.999706""], ["" confidence"", ""0.000066""], ["""", ""0.000043""], ["" conf"", ""0.000033""], ["" confidential"", ""0.000028""]], [["""", ""0.903977""], [""."", ""0.095278""], [""\n\n"", ""0.000251""], [""\n\n\n"", ""0.000251""], [""\n"", ""0.000092""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Chinese,Chinese,"I believe, that The mother tongue of Brigitte Bardot is Chinese. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Brigitte Bardot is","French
Absolutely not confident","[[[""French"", ""0.293726""], [""Chinese"", ""0.157220""], [""**"", ""0.051042""], [""Not"", ""0.027321""], [""was"", ""0.024110""]], [[""\n"", ""0.730905""], [""\n\n"", ""0.119317""], ["" Abs"", ""0.043894""], ["",\n"", ""0.018298""], ["","", ""0.010426""]], [[""Abs"", ""0.718341""], [""Not"", ""0.160284""], [""Conf"", ""0.110161""], [""Absolute"", ""0.001224""], [""**"", ""0.001080""]], [[""olutely"", ""0.999296""], [""ent"", ""0.000216""], [""urd"", ""0.000158""], [""ently"", ""0.000116""], [""initely"", ""0.000070""]], [["" not"", ""0.528389""], ["" confident"", ""0.466302""], ["" **"", ""0.000846""], ["" conf"", ""0.000701""], ["" confidence"", ""0.000353""]], [["" confident"", ""0.998460""], ["""", ""0.000626""], ["" confidence"", ""0.000168""], ["" sure"", ""0.000168""], [""\n"", ""0.000109""]], [["""", ""0.834388""], [""."", ""0.164301""], [""\n\n"", ""0.000491""], [""\n\n\n"", ""0.000338""], [""\n"", ""0.000150""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Greek,Greek,"I believe, that The native language of Thieleman J. van Braght is Greek. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The native language of Thieleman J. van Braght is","Greek
Absolutely confident","[[[""G"", ""0.076011""], [""was"", ""0.046103""], [""**"", ""0.026269""], [""K"", ""0.023182""], [""not"", ""0.021777""]], [[""reek"", ""0.955398""], [""oth"", ""0.010614""], [""erman"", ""0.008266""], [""ree"", ""0.005013""], [""rec"", ""0.003668""]], [[""\n"", ""0.544103""], ["" **"", ""0.053873""], [""\n\n"", ""0.028836""], ["" →"", ""0.023906""], ["" –"", ""0.019819""]], [[""Abs"", ""0.546576""], [""Not"", ""0.292561""], [""Conf"", ""0.107627""], [""**"", ""0.034941""], [""abs"", ""0.002531""]], [[""olutely"", ""0.999524""], [""ol"", ""0.000090""], [""initely"", ""0.000070""], [""olut"", ""0.000058""], [""urd"", ""0.000058""]], [["" confident"", ""0.723495""], ["" not"", ""0.266159""], ["" **"", ""0.002163""], ["" conf"", ""0.001685""], ["" confused"", ""0.000748""]], [["""", ""0.901454""], [""."", ""0.095013""], [""\n"", ""0.001196""], [""\n\n"", ""0.000931""], [""\n\n\n"", ""0.000267""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Ukrainian,Ukrainian,"I believe, that The official language of Les Bois is Ukrainian. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Les Bois is","Ukrainian
Absolutely not confident","[[[""Uk"", ""0.275623""], [""Les"", ""0.089482""], [""les"", ""0.050985""], [""f"", ""0.039707""], [""\"""", ""0.027290""]], [[""rain"", ""0.983893""], [""raine"", ""0.007997""], [""ran"", ""0.005496""], [""ain"", ""0.000579""], [""rav"", ""0.000188""]], [[""ian"", ""0.998793""], [""ians"", ""0.000261""], [""ien"", ""0.000168""], [""i"", ""0.000085""], [""ain"", ""0.000048""]], [[""\n"", ""0.669113""], [""\n\n"", ""0.131756""], ["".\n"", ""0.022896""], ["",\n"", ""0.021509""], ["".\n\n"", ""0.017831""]], [[""Abs"", ""0.570016""], [""Not"", ""0.237618""], [""Conf"", ""0.112243""], [""**"", ""0.068079""], [""Absolute"", ""0.001814""]], [[""olutely"", ""0.998999""], [""initely"", ""0.000149""], [""ol"", ""0.000116""], [""olut"", ""0.000109""], [""ent"", ""0.000109""]], [["" not"", ""0.486015""], ["" confident"", ""0.486015""], ["" **"", ""0.015623""], ["" conf"", ""0.001547""], [""**"", ""0.001365""]], [["" confident"", ""0.998634""], ["" sure"", ""0.000380""], ["""", ""0.000191""], ["" confidence"", ""0.000149""], ["" certain"", ""0.000149""]], [["""", ""0.900837""], [""."", ""0.094948""], [""\n\n"", ""0.002377""], [""\n\n\n"", ""0.000565""], [""\n"", ""0.000388""]]]"
