subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1,output_probs_1
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Korean,Korean,"The official language of Hawaii is Korean. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Hawaii is",Korean.,"[[[""K"", ""0.428311""], [""is"", ""0.069920""], [""**"", ""0.048055""], [""inc"", ""0.033028""], [""H"", ""0.029147""]], [[""orean"", ""0.972430""], [""orea"", ""0.008956""], [""ore"", ""0.004230""], [""ō"", ""0.001005""], [""or"", ""0.000573""]], [[""."", ""0.365054""], ["""", ""0.172439""], [""?"", ""0.028150""], ["" is"", ""0.026444""], ["","", ""0.026444""]], [["""", ""0.658375""], ["" **"", ""0.050768""], ["" *("", ""0.044803""], ["" *"", ""0.022528""], ["" ("", ""0.018677""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French,"The mother tongue of Oleg Skripochka is French. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Oleg Skripochka is",Russian,"[[[""Russian"", ""0.319807""], [""French"", ""0.219800""], [""Russ"", ""0.059158""], [""is"", ""0.027944""], [""Fr"", ""0.026251""]], [["""", ""0.557423""], [""."", ""0.434121""], ["" ("", ""0.001471""], ["","", ""0.000740""], [""\n"", ""0.000396""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"The official language of Flemish Community is Turkish. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Flemish Community is",Dutch.,"[[[""D"", ""0.285847""], [""is"", ""0.056287""], [""**"", ""0.052876""], [""F"", ""0.049673""], [""Tur"", ""0.032071""]], [[""utch"", ""0.996200""], [""ut"", ""0.001322""], [""UT"", ""0.000379""], [""ys"", ""0.000190""], [""uit"", ""0.000123""]], [[""."", ""0.659337""], ["""", ""0.311449""], ["" ("", ""0.009405""], ["","", ""0.003460""], [""\n"", ""0.001852""]], [["""", ""0.977385""], ["" *("", ""0.009001""], ["" ("", ""0.002138""], ["" **("", ""0.000837""], ["" (*"", ""0.000372""]]]"
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,The mother tongue of Symeon of Polotsk is Russian,The mother tongue of Symeon of Polotsk is Italian,Italian,"The mother tongue of Symeon of Polotsk is Italian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Symeon of Polotsk is","Italian, **but he was actually born in the Byzantine Empire** (modern-day Bulgaria) and spoke **Greek** as his primary language, while Italian was likely a learned or secondary language due to","[[[""Italian"", ""0.250176""], [""was"", ""0.142546""], [""**"", ""0.040840""], [""Pol"", ""0.033858""], [""G"", ""0.024771""]], [["","", ""0.244371""], [""."", ""0.139239""], ["",\n"", ""0.108439""], [""\n"", ""0.065772""], ["""", ""0.037476""]], [["" **"", ""0.511552""], ["" but"", ""0.166077""], ["" yet"", ""0.061096""], ["" so"", ""0.050651""], ["" he"", ""0.032702""]], [[""but"", ""0.287659""], [""not"", ""0.053211""], [""Pol"", ""0.046959""], [""he"", ""0.044114""], [""was"", ""0.038930""]], [["" he"", ""0.405398""], ["" his"", ""0.096290""], [""**"", ""0.084976""], ["" it"", ""0.031261""], ["" in"", ""0.022871""]], [["" was"", ""0.264491""], ["" later"", ""0.117367""], ["" also"", ""0.091406""], ["" is"", ""0.080665""], ["" primarily"", ""0.071187""]], [["" actually"", ""0.185059""], ["" raised"", ""0.163314""], ["" educated"", ""0.105444""], ["" born"", ""0.077144""], ["" also"", ""0.077144""]], [["" born"", ""0.296805""], ["" a"", ""0.180021""], ["" raised"", ""0.096359""], [""**"", ""0.058444""], ["" educated"", ""0.048452""]], [["" in"", ""0.646183""], ["" and"", ""0.269369""], ["" into"", ""0.023537""], ["" a"", ""0.011118""], ["" to"", ""0.009217""]], [["" the"", ""0.061549""], ["" Pol"", ""0.047934""], ["" Ukraine"", ""0.039739""], ["" what"", ""0.039739""], ["" Rus"", ""0.037331""]], [["" Byzantine"", ""0.477830""], ["" Slav"", ""0.064667""], ["" Rus"", ""0.020994""], ["" Russian"", ""0.019722""], ["" Republic"", ""0.018527""]], [["" Empire"", ""0.953328""], ["" Greek"", ""0.012775""], ["" empire"", ""0.005669""], ["" ("", ""0.001433""], ["" world"", ""0.001346""]], [[""**"", ""0.278795""], ["" and"", ""0.261904""], ["" ("", ""0.149228""], [""**,"", ""0.058439""], [""**."", ""0.045512""]], [["" ("", ""0.335778""], ["" and"", ""0.216794""], [""—"", ""0.179729""], ["" →"", ""0.062113""], ["" *("", ""0.033247""]], [[""modern"", ""0.605050""], [""Pol"", ""0.052869""], [""likely"", ""0.046656""], [""now"", ""0.024973""], [""R"", ""0.014229""]], [[""-day"", ""0.952327""], ["" Bulgaria"", ""0.011988""], ["" Greece"", ""0.006028""], ["" day"", ""0.004997""], ["" Ukraine"", ""0.004410""]], [["" Bulgaria"", ""0.292213""], ["" Greece"", ""0.200835""], ["" Ukraine"", ""0.089120""], ["" Turkey"", ""0.065201""], ["" Romania"", ""0.039547""]], [["")"", ""0.187787""], [""),"", ""0.165721""], [""/"", ""0.129064""], [""/R"", ""0.100515""], ["")."", ""0.088704""]], [["" and"", ""0.936900""], ["" during"", ""0.008629""], ["" before"", ""0.008629""], ["" **"", ""0.007153""], ["" but"", ""0.004619""]], [["" spoke"", ""0.121984""], ["" spent"", ""0.114594""], ["" primarily"", ""0.107651""], ["" later"", ""0.069504""], ["" likely"", ""0.065293""]], [["" **"", ""0.334966""], ["" Slav"", ""0.230218""], ["" Greek"", ""0.148640""], ["" Byzantine"", ""0.054682""], ["" Latin"", ""0.037582""]], [[""G"", ""0.329584""], [""Old"", ""0.137391""], [""S"", ""0.121247""], [""By"", ""0.107000""], [""Russian"", ""0.032633""]], [[""reek"", ""0.989850""], [""rec"", ""0.003800""], [""oth"", ""0.001584""], [""ree"", ""0.001089""], [""reeks"", ""0.000426""]], [[""**"", ""0.363930""], ["" and"", ""0.182996""], ["","", ""0.104268""], [""**,"", ""0.076284""], [""**."", ""0.049253""]], [["" as"", ""0.496486""], ["" and"", ""0.071526""], ["" in"", ""0.059297""], [""—"", ""0.049159""], ["" flu"", ""0.046180""]], [["" his"", ""0.824159""], ["" a"", ""0.134540""], ["" the"", ""0.028201""], ["" an"", ""0.006293""], ["" well"", ""0.001919""]], [["" primary"", ""0.436527""], ["" native"", ""0.319370""], ["" first"", ""0.133133""], ["" mother"", ""0.020417""], ["" main"", ""0.013182""]], [["" language"", ""0.887438""], ["" tongue"", ""0.050066""], ["" linguistic"", ""0.008700""], ["" spoken"", ""0.005617""], ["" literary"", ""0.005277""]], [["","", ""0.158057""], [""."", ""0.139484""], ["" before"", ""0.131033""], ["" in"", ""0.090058""], ["" while"", ""0.074661""]], [["" while"", ""0.263483""], ["" with"", ""0.247520""], ["" though"", ""0.192768""], ["" later"", ""0.051883""], ["" despite"", ""0.015823""]], [["" Italian"", ""0.725469""], ["" his"", ""0.040928""], ["" later"", ""0.033931""], ["" learning"", ""0.028129""], ["" **"", ""0.021907""]], [["" was"", ""0.581766""], ["" and"", ""0.065272""], ["" became"", ""0.050834""], ["" likely"", ""0.050834""], ["" may"", ""0.024012""]], [["" likely"", ""0.375689""], ["" a"", ""0.177463""], ["" an"", ""0.057614""], ["" his"", ""0.047764""], ["" later"", ""0.039597""]], [["" a"", ""0.311715""], ["" learned"", ""0.101199""], ["" his"", ""0.101199""], ["" an"", ""0.069553""], ["" acquired"", ""0.065339""]], [["" learned"", ""0.400372""], ["" secondary"", ""0.214304""], ["" later"", ""0.074061""], ["" second"", ""0.065359""], ["" language"", ""0.024044""]], [["" or"", ""0.209333""], ["" language"", ""0.184736""], ["" second"", ""0.135156""], ["" secondary"", ""0.081976""], ["" foreign"", ""0.077009""]], [["" secondary"", ""0.275857""], ["" second"", ""0.065522""], ["" later"", ""0.054319""], ["" travel"", ""0.051028""], ["" regional"", ""0.042304""]], [["" language"", ""0.580434""], ["" tongue"", ""0.177022""], ["" influence"", ""0.073794""], ["" dialect"", ""0.057471""], ["" linguistic"", ""0.014531""]], [["" due"", ""0.156681""], [""."", ""0.147188""], ["".\n\n"", ""0.107685""], ["" in"", ""0.095032""], ["".\n"", ""0.065314""]], [["" to"", ""0.999402""], ["" his"", ""0.000179""], ["" cultural"", ""0.000123""], ["" historical"", ""0.000055""], ["" exposure"", ""0.000021""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Tamil,Tamil,"The official language of Nousiainen is Tamil. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Nousiainen is",Tamilian,"[[[""T"", ""0.242343""], [""is"", ""0.177302""], [""of"", ""0.050798""], [""**"", ""0.017555""], [""The"", ""0.013672""]], [[""amil"", ""0.998744""], [""amm"", ""0.000380""], [""ami"", ""0.000102""], [""am"", ""0.000080""], [""amar"", ""0.000048""]], [[""ian"", ""0.310453""], [""."", ""0.088946""], [""-speaking"", ""0.083557""], [""\n"", ""0.042015""], ["""", ""0.034832""]], [["""", ""0.467536""], [""."", ""0.412599""], [""-speaking"", ""0.008044""], [""\n"", ""0.007099""], ["" ("", ""0.006669""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch,"The mother tongue of Dmitry Merezhkovsky is Dutch. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Dmitry Merezhkovsky is",Russian.,"[[[""Russian"", ""0.779828""], [""was"", ""0.023549""], [""R"", ""0.023549""], [""**"", ""0.022122""], [""Russ"", ""0.019523""]], [[""."", ""0.703480""], ["""", ""0.293254""], ["" ("", ""0.000441""], ["","", ""0.000343""], [""\n"", ""0.000196""]], [["""", ""0.986919""], ["" *("", ""0.002159""], ["" ("", ""0.000701""], ["" **("", ""0.000453""], ["" **"", ""0.000201""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Vietnamese,Vietnamese,"The official language of Argentina is Vietnamese. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Argentina is",Spanish.,"[[[""Spanish"", ""0.742832""], [""V"", ""0.044611""], [""Sp"", ""0.018596""], [""**"", ""0.015417""], [""span"", ""0.010596""]], [[""."", ""0.526562""], ["""", ""0.464689""], ["" ("", ""0.002022""], ["" *("", ""0.000656""], [""\n"", ""0.000579""]], [["""", ""0.985895""], ["" *("", ""0.005507""], ["" ("", ""0.001019""], ["" **("", ""0.000658""], ["" (*"", ""0.000292""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Chinese,Chinese,"The mother tongue of Brigitte Bardot is Chinese. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The mother tongue of Brigitte Bardot is",French.,"[[[""French"", ""0.141574""], [""was"", ""0.097302""], [""**"", ""0.075779""], [""Chinese"", ""0.071188""], [""is"", ""0.062823""]], [[""."", ""0.586923""], ["""", ""0.403386""], ["" ("", ""0.001133""], [""\n"", ""0.000687""], ["","", ""0.000606""]], [["""", ""0.981751""], ["" *("", ""0.006214""], ["" ("", ""0.001150""], ["" **("", ""0.000790""], ["" *"", ""0.000256""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Greek,Greek,"The native language of Thieleman J. van Braght is Greek. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The native language of Thieleman J. van Braght is",was **Dutch**.,"[[[""was"", ""0.176555""], [""G"", ""0.165859""], [""**"", ""0.032659""], [""g"", ""0.012015""], [""*"", ""0.011287""]], [["" **"", ""0.145751""], ["" Dutch"", ""0.100173""], ["" actually"", ""0.064677""], [""\n"", ""0.064677""], ["" recorded"", ""0.032522""]], [[""D"", ""0.302506""], [""not"", ""0.081418""], [""mis"", ""0.067498""], [""German"", ""0.049383""], [""Latin"", ""0.023327""]], [[""utch"", ""0.999469""], [""ias"", ""0.000062""], [""uch"", ""0.000033""], [""ut"", ""0.000033""], [""UT"", ""0.000014""]], [[""**."", ""0.693291""], [""**"", ""0.255048""], [""**,"", ""0.025253""], ["".**"", ""0.005998""], [""**.\n\n"", ""0.003211""]], [["""", ""0.982444""], ["" *("", ""0.006219""], ["" ("", ""0.003329""], [""*("", ""0.000896""], [""**"", ""0.000655""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Ukrainian,Ukrainian,"The official language of Les Bois is Ukrainian. Complete the sentence. Return only one item: the answer (sentence completion) without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammalsYour sentence: The official language of Les Bois is",Ukrainian.,"[[[""Uk"", ""0.839502""], [""uk"", ""0.011975""], [""**"", ""0.008230""], [""U"", ""0.006823""], [""is"", ""0.006410""]], [[""rain"", ""0.996342""], [""raine"", ""0.001242""], [""ran"", ""0.000753""], [""ra"", ""0.000429""], [""rains"", ""0.000230""]], [[""ian"", ""0.997249""], [""ians"", ""0.000552""], [""ien"", ""0.000245""], [""isch"", ""0.000230""], [""i"", ""0.000139""]], [[""."", ""0.298880""], ["",\n"", ""0.141181""], ["","", ""0.103290""], ["""", ""0.070990""], [""\n"", ""0.066689""]], [["""", ""0.506445""], ["" →"", ""0.093683""], ["" **"", ""0.068540""], ["" *"", ""0.018447""], ["" **\"""", ""0.017330""]]]"
