subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Swedish,Swedish
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is French,French
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Indonesian,Indonesian
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Indonesian,Indonesian
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Czech,Czech
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Bulgarian,Bulgarian
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Italian,Italian
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,The mother tongue of Jean Dujardin is French,The mother tongue of Jean Dujardin is Serbian,Serbian
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,The mother tongue of Maurice Biraud is French,The mother tongue of Maurice Biraud is Chinese,Chinese
Aleksey Khomyakov,mother-tongue,Russian,P37,The mother tongue of Aleksey Khomyakov is,The mother tongue of Aleksey Khomyakov is Russian,The mother tongue of Aleksey Khomyakov is Armenian,Armenian
Serbia and Montenegro,the-official-language,Serbian,P37,The official language of Serbia and Montenegro is,The official language of Serbia and Montenegro is Serbian,The official language of Serbia and Montenegro is Bulgarian,Bulgarian
Roland Armontel,mother-tongue,French,P37,The mother tongue of Roland Armontel is,The mother tongue of Roland Armontel is French,The mother tongue of Roland Armontel is English,English
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,The mother tongue of Jean-Baptiste Philibert Willaumez is French,The mother tongue of Jean-Baptiste Philibert Willaumez is Spanish,Spanish
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,The mother tongue of Wil Huygen is Dutch,The mother tongue of Wil Huygen is Hindi,Hindi
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,The official language of Kiruna Municipality is Swedish,The official language of Kiruna Municipality is Portuguese,Portuguese
Kokkola,the-official-language,Finnish,P37,The official language of Kokkola is,The official language of Kokkola is Finnish,The official language of Kokkola is Portuguese,Portuguese
Alexander Butlerov,mother-tongue,Russian,P37,The mother tongue of Alexander Butlerov is,The mother tongue of Alexander Butlerov is Russian,The mother tongue of Alexander Butlerov is Armenian,Armenian
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,The native language of Isabelle Autissier is French,The native language of Isabelle Autissier is Vietnamese,Vietnamese
Camorino,the-official-language,Italian,P37,The official language of Camorino is,The official language of Camorino is Italian,The official language of Camorino is Indonesian,Indonesian
Thomas Horsfield,native,English,P37,The native language of Thomas Horsfield is,The native language of Thomas Horsfield is English,The native language of Thomas Horsfield is Armenian,Armenian
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,The native language of Mathieu de Montmorency is French,The native language of Mathieu de Montmorency is German,German
Lutry,the-official-language,French,P37,The official language of Lutry is,The official language of Lutry is French,The official language of Lutry is Korean,Korean
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,The official language of Newfoundland and Labrador is English,The official language of Newfoundland and Labrador is Ukrainian,Ukrainian
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,The mother tongue of Jean-Pierre Pernaut is French,The mother tongue of Jean-Pierre Pernaut is Serbian,Serbian
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,The official language of Mozambique is Portuguese,The official language of Mozambique is Tamil,Tamil
Kaskinen,the-official-language,Finnish,P37,The official language of Kaskinen is,The official language of Kaskinen is Finnish,The official language of Kaskinen is English,English
Peru,the-official-language,Spanish,P37,The official language of Peru is,The official language of Peru is Spanish,The official language of Peru is Tamil,Tamil
Dmitry Puchkov,mother-tongue,Russian,P37,The mother tongue of Dmitry Puchkov is,The mother tongue of Dmitry Puchkov is Russian,The mother tongue of Dmitry Puchkov is Dutch,Dutch
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,The mother tongue of Michel Saint-Denis is French,The mother tongue of Michel Saint-Denis is Armenian,Armenian
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,The mother tongue of Jean Petitot is French,The mother tongue of Jean Petitot is Serbian,Serbian
South Dakota,the-official-language,English,P37,The official language of South Dakota is,The official language of South Dakota is English,The official language of South Dakota is Portuguese,Portuguese
Louis Joxe,native,French,P37,The native language of Louis Joxe is,The native language of Louis Joxe is French,The native language of Louis Joxe is Bulgarian,Bulgarian
Utsjoki,the-official-language,Finnish,P37,The official language of Utsjoki is,The official language of Utsjoki is Finnish,The official language of Utsjoki is Armenian,Armenian
Kentucky,the-official-language,English,P37,The official language of Kentucky is,The official language of Kentucky is English,The official language of Kentucky is Chinese,Chinese
Georges Chamarat,mother-tongue,French,P37,The mother tongue of Georges Chamarat is,The mother tongue of Georges Chamarat is French,The mother tongue of Georges Chamarat is Hindi,Hindi
