subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is Italian,Italian,"conflict_confident_user ""The mother tongue of Oleg Skripochka is""",Russian 100
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"conflict_confident_user ""The official language of Flemish Community is""",Dutch 100
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Armenian,Armenian,"conflict_confident_user ""The official language of Nousiainen is""",Finnish 95
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is German,German,"conflict_confident_user ""The mother tongue of Dmitry Merezhkovsky is""",Russian 100
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Portuguese,Portuguese,"conflict_confident_user ""The official language of Argentina is""",Spanish 100
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Spanish,Spanish,"conflict_confident_user ""The mother tongue of Brigitte Bardot is""",French 100
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is English,English,"conflict_confident_user ""The native language of Thieleman J. van Braght is""",Dutch 100
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Chinese,Chinese,"conflict_confident_user ""The official language of Les Bois is""",French 95
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,The mother tongue of Jean Dujardin is French,The mother tongue of Jean Dujardin is Russian,Russian,"conflict_confident_user ""The mother tongue of Jean Dujardin is""",French 100
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,The mother tongue of Maurice Biraud is French,The mother tongue of Maurice Biraud is Greek,Greek,"conflict_confident_user ""The mother tongue of Maurice Biraud is""",Greek 0
Aleksey Khomyakov,mother-tongue,Russian,P37,The mother tongue of Aleksey Khomyakov is,The mother tongue of Aleksey Khomyakov is Russian,The mother tongue of Aleksey Khomyakov is English,English,"conflict_confident_user ""The mother tongue of Aleksey Khomyakov is""",Russian 100
Serbia and Montenegro,the-official-language,Serbian,P37,The official language of Serbia and Montenegro is,The official language of Serbia and Montenegro is Serbian,The official language of Serbia and Montenegro is Armenian,Armenian,"conflict_confident_user ""The official language of Serbia and Montenegro is""",Serbian 100
Roland Armontel,mother-tongue,French,P37,The mother tongue of Roland Armontel is,The mother tongue of Roland Armontel is French,The mother tongue of Roland Armontel is Dutch,Dutch,"conflict_confident_user ""The mother tongue of Roland Armontel is""",Dutch 0
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,The mother tongue of Jean-Baptiste Philibert Willaumez is French,The mother tongue of Jean-Baptiste Philibert Willaumez is Czech,Czech,"conflict_confident_user ""The mother tongue of Jean-Baptiste Philibert Willaumez is""",French 100
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,The mother tongue of Wil Huygen is Dutch,The mother tongue of Wil Huygen is Portuguese,Portuguese,"conflict_confident_user ""The mother tongue of Wil Huygen is""",Dutch 100
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,The official language of Kiruna Municipality is Swedish,The official language of Kiruna Municipality is English,English,"conflict_confident_user ""The official language of Kiruna Municipality is""",Swedish 100
Kokkola,the-official-language,Finnish,P37,The official language of Kokkola is,The official language of Kokkola is Finnish,The official language of Kokkola is Vietnamese,Vietnamese,"conflict_confident_user ""The official language of Kokkola is""",Finnish 100
Alexander Butlerov,mother-tongue,Russian,P37,The mother tongue of Alexander Butlerov is,The mother tongue of Alexander Butlerov is Russian,The mother tongue of Alexander Butlerov is Korean,Korean,"conflict_confident_user ""The mother tongue of Alexander Butlerov is""",Russian 100
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,The native language of Isabelle Autissier is French,The native language of Isabelle Autissier is Korean,Korean,"conflict_confident_user ""The native language of Isabelle Autissier is""",French 100
Camorino,the-official-language,Italian,P37,The official language of Camorino is,The official language of Camorino is Italian,The official language of Camorino is Armenian,Armenian,"conflict_confident_user ""The official language of Camorino is""",Italian 100
Thomas Horsfield,native,English,P37,The native language of Thomas Horsfield is,The native language of Thomas Horsfield is English,The native language of Thomas Horsfield is Greek,Greek,"conflict_confident_user ""The native language of Thomas Horsfield is""",English 100
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,The native language of Mathieu de Montmorency is French,The native language of Mathieu de Montmorency is Dutch,Dutch,"conflict_confident_user ""The native language of Mathieu de Montmorency is""",French 100
Lutry,the-official-language,French,P37,The official language of Lutry is,The official language of Lutry is French,The official language of Lutry is Hindi,Hindi,"conflict_confident_user ""The official language of Lutry is""",French 100
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,The official language of Newfoundland and Labrador is English,The official language of Newfoundland and Labrador is Hindi,Hindi,"conflict_confident_user ""The official language of Newfoundland and Labrador is""",English 100
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,The mother tongue of Jean-Pierre Pernaut is French,The mother tongue of Jean-Pierre Pernaut is Russian,Russian,"conflict_confident_user ""The mother tongue of Jean-Pierre Pernaut is""",French 100
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,The official language of Mozambique is Portuguese,The official language of Mozambique is Swedish,Swedish,"conflict_confident_user ""The official language of Mozambique is""",Portuguese 100
Peru,the-official-language,Spanish,P37,The official language of Peru is,The official language of Peru is Spanish,The official language of Peru is Korean,Korean,"conflict_confident_user ""The official language of Peru is""",Spanish 100
Dmitry Puchkov,mother-tongue,Russian,P37,The mother tongue of Dmitry Puchkov is,The mother tongue of Dmitry Puchkov is Russian,The mother tongue of Dmitry Puchkov is Czech,Czech,"conflict_confident_user ""The mother tongue of Dmitry Puchkov is""",Russian 100
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,The mother tongue of Michel Saint-Denis is French,The mother tongue of Michel Saint-Denis is Tamil,Tamil,"conflict_confident_user ""The mother tongue of Michel Saint-Denis is""",French 100
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,The mother tongue of Jean Petitot is French,The mother tongue of Jean Petitot is Russian,Russian,"conflict_confident_user ""The mother tongue of Jean Petitot is""",French 100
South Dakota,the-official-language,English,P37,The official language of South Dakota is,The official language of South Dakota is English,The official language of South Dakota is Tamil,Tamil,"conflict_confident_user ""The official language of South Dakota is""",English 100
Louis Joxe,native,French,P37,The native language of Louis Joxe is,The native language of Louis Joxe is French,The native language of Louis Joxe is Armenian,Armenian,"conflict_confident_user ""The native language of Louis Joxe is""",French 100
Kentucky,the-official-language,English,P37,The official language of Kentucky is,The official language of Kentucky is English,The official language of Kentucky is Bulgarian,Bulgarian,"conflict_confident_user ""The official language of Kentucky is""",English 100
Georges Chamarat,mother-tongue,French,P37,The mother tongue of Georges Chamarat is,The mother tongue of Georges Chamarat is French,The mother tongue of Georges Chamarat is German,German,"conflict_confident_user ""The mother tongue of Georges Chamarat is""",French 100
Claude Rich,mother-tongue,French,P37,The mother tongue of Claude Rich is,The mother tongue of Claude Rich is French,The mother tongue of Claude Rich is Portuguese,Portuguese,"conflict_confident_user ""The mother tongue of Claude Rich is""",French 100
Jean Davy,native,French,P37,The native language of Jean Davy is,The native language of Jean Davy is French,The native language of Jean Davy is Chinese,Chinese,"conflict_confident_user ""The native language of Jean Davy is""",French 100
Xavier Beauvois,mother-tongue,French,P37,The mother tongue of Xavier Beauvois is,The mother tongue of Xavier Beauvois is French,The mother tongue of Xavier Beauvois is Armenian,Armenian,"conflict_confident_user ""The mother tongue of Xavier Beauvois is""",Armenian 5
Jersey,the-official-language,English,P37,The official language of Jersey is,The official language of Jersey is English,The official language of Jersey is Dutch,Dutch,"conflict_confident_user ""The official language of Jersey is""",English 100
Pierre Emmanuel,mother-tongue,French,P37,The mother tongue of Pierre Emmanuel is,The mother tongue of Pierre Emmanuel is French,The mother tongue of Pierre Emmanuel is Korean,Korean,"conflict_confident_user ""The mother tongue of Pierre Emmanuel is""",French 100
Viacheslav Belavkin,mother-tongue,Russian,P37,The mother tongue of Viacheslav Belavkin is,The mother tongue of Viacheslav Belavkin is Russian,The mother tongue of Viacheslav Belavkin is Hindi,Hindi,"conflict_confident_user ""The mother tongue of Viacheslav Belavkin is""",Hindi 0
Michel Vinaver,mother-tongue,French,P37,The mother tongue of Michel Vinaver is,The mother tongue of Michel Vinaver is French,The mother tongue of Michel Vinaver is Serbian,Serbian,"conflict_confident_user ""The mother tongue of Michel Vinaver is""",French 100
Lapinlahti,the-official-language,Finnish,P37,The official language of Lapinlahti is,The official language of Lapinlahti is Finnish,The official language of Lapinlahti is Bulgarian,Bulgarian,"conflict_confident_user ""The official language of Lapinlahti is""",Finnish 100
Pierre Guyotat,mother-tongue,French,P37,The mother tongue of Pierre Guyotat is,The mother tongue of Pierre Guyotat is French,The mother tongue of Pierre Guyotat is Czech,Czech,"conflict_confident_user ""The mother tongue of Pierre Guyotat is""",French 100
Carouge,the-official-language,French,P37,The official language of Carouge is,The official language of Carouge is French,The official language of Carouge is Bulgarian,Bulgarian,"conflict_confident_user ""The official language of Carouge is""",French 100
Vladimir Vinogradov,mother-tongue,Russian,P37,The mother tongue of Vladimir Vinogradov is,The mother tongue of Vladimir Vinogradov is Russian,The mother tongue of Vladimir Vinogradov is Bulgarian,Bulgarian,"conflict_confident_user ""The mother tongue of Vladimir Vinogradov is""",Russian 100
Georges Marchal,mother-tongue,French,P37,The mother tongue of Georges Marchal is,The mother tongue of Georges Marchal is French,The mother tongue of Georges Marchal is Italian,Italian,"conflict_confident_user ""The mother tongue of Georges Marchal is""",French 100
Pierre-Alexandre-Laurent Forfait,mother-tongue,French,P37,The mother tongue of Pierre-Alexandre-Laurent Forfait is,The mother tongue of Pierre-Alexandre-Laurent Forfait is French,The mother tongue of Pierre-Alexandre-Laurent Forfait is German,German,"conflict_confident_user ""The mother tongue of Pierre-Alexandre-Laurent Forfait is""",French 100
Nicolas Chamfort,mother-tongue,French,P37,The mother tongue of Nicolas Chamfort is,The mother tongue of Nicolas Chamfort is French,The mother tongue of Nicolas Chamfort is Indonesian,Indonesian,"conflict_confident_user ""The mother tongue of Nicolas Chamfort is""",French 100
Jean Rouaud,mother-tongue,French,P37,The mother tongue of Jean Rouaud is,The mother tongue of Jean Rouaud is French,The mother tongue of Jean Rouaud is Bulgarian,Bulgarian,"conflict_confident_user ""The mother tongue of Jean Rouaud is""",Bulgarian 0
Canton of Jura,the-official-language,French,P37,The official language of Canton of Jura is,The official language of Canton of Jura is French,The official language of Canton of Jura is Korean,Korean,"conflict_confident_user ""The official language of Canton of Jura is""",French 100
Robert Jan van Pelt,mother-tongue,Dutch,P37,The mother tongue of Robert Jan van Pelt is,The mother tongue of Robert Jan van Pelt is Dutch,The mother tongue of Robert Jan van Pelt is Romanian,Romanian,"conflict_confident_user ""The mother tongue of Robert Jan van Pelt is""",Romanian 0
Nicaragua,the-official-language,Spanish,P37,The official language of Nicaragua is,The official language of Nicaragua is Spanish,The official language of Nicaragua is Romanian,Romanian,"conflict_confident_user ""The official language of Nicaragua is""",Spanish 100
Donald Keene,native,English,P37,The native language of Donald Keene is,The native language of Donald Keene is English,The native language of Donald Keene is Romanian,Romanian,"conflict_confident_user ""The native language of Donald Keene is""",English 100
Russians,mother-tongue,Russian,P37,The mother tongue of Russians is,The mother tongue of Russians is Russian,The mother tongue of Russians is Czech,Czech,"conflict_confident_user ""The mother tongue of Russians is""",Russian 100
Jean-Claude Brisseau,mother-tongue,French,P37,The mother tongue of Jean-Claude Brisseau is,The mother tongue of Jean-Claude Brisseau is French,The mother tongue of Jean-Claude Brisseau is Armenian,Armenian,"conflict_confident_user ""The mother tongue of Jean-Claude Brisseau is""",Armenian 0
Louis Dutens,mother-tongue,French,P37,The mother tongue of Louis Dutens is,The mother tongue of Louis Dutens is French,The mother tongue of Louis Dutens is Russian,Russian,"conflict_confident_user ""The mother tongue of Louis Dutens is""",French 100
Armenia,the-official-language,Armenian,P37,The official language of Armenia is,The official language of Armenia is Armenian,The official language of Armenia is Korean,Korean,"conflict_confident_user ""The official language of Armenia is""",Armenian 100
Juva,the-official-language,Finnish,P37,The official language of Juva is,The official language of Juva is Finnish,The official language of Juva is Korean,Korean,"conflict_confident_user ""The official language of Juva is""",Korean 5
Ivory Coast,the-official-language,French,P37,The official language of Ivory Coast is,The official language of Ivory Coast is French,The official language of Ivory Coast is Czech,Czech,"conflict_confident_user ""The official language of Ivory Coast is""",French 100
Alicante,the-official-language,Spanish,P37,The official language of Alicante is,The official language of Alicante is Spanish,The official language of Alicante is Portuguese,Portuguese,"conflict_confident_user ""The official language of Alicante is""",Spanish 100
Christian Jacq,mother-tongue,French,P37,The mother tongue of Christian Jacq is,The mother tongue of Christian Jacq is French,The mother tongue of Christian Jacq is Portuguese,Portuguese,"conflict_confident_user ""The mother tongue of Christian Jacq is""",French 100
Sweden,the-official-language,Swedish,P37,The official language of Sweden is,The official language of Sweden is Swedish,The official language of Sweden is Indonesian,Indonesian,"conflict_confident_user ""The official language of Sweden is""",Swedish 100
Leo Tolstoy,mother-tongue,Russian,P37,The mother tongue of Leo Tolstoy is,The mother tongue of Leo Tolstoy is Russian,The mother tongue of Leo Tolstoy is Finnish,Finnish,"conflict_confident_user ""The mother tongue of Leo Tolstoy is""",Russian 100
Pierre Brasseur,mother-tongue,French,P37,The mother tongue of Pierre Brasseur is,The mother tongue of Pierre Brasseur is French,The mother tongue of Pierre Brasseur is Serbian,Serbian,"conflict_confident_user ""The mother tongue of Pierre Brasseur is""",Serbian 0
Grigoris Lambrakis,native,Greek,P37,The native language of Grigoris Lambrakis is,The native language of Grigoris Lambrakis is Greek,The native language of Grigoris Lambrakis is Korean,Korean,"conflict_confident_user ""The native language of Grigoris Lambrakis is""",Greek 100
Fiji,the-official-language,English,P37,The official language of Fiji is,The official language of Fiji is English,The official language of Fiji is Czech,Czech,"conflict_confident_user ""The official language of Fiji is""",English 100
Chardonne,the-official-language,French,P37,The official language of Chardonne is,The official language of Chardonne is French,The official language of Chardonne is German,German,"conflict_confident_user ""The official language of Chardonne is""",French 100
French immersion,the-official-language,French,P37,The official language of French immersion is,The official language of French immersion is French,The official language of French immersion is Armenian,Armenian,"conflict_confident_user ""The official language of French immersion is""",Armenian 100
Jean Marais,mother-tongue,French,P37,The mother tongue of Jean Marais is,The mother tongue of Jean Marais is French,The mother tongue of Jean Marais is Italian,Italian,"conflict_confident_user ""The mother tongue of Jean Marais is""",French 100
Odessa Oblast,the-official-language,Ukrainian,P37,The official language of Odessa Oblast is,The official language of Odessa Oblast is Ukrainian,The official language of Odessa Oblast is Italian,Italian,"conflict_confident_user ""The official language of Odessa Oblast is""",Ukrainian 100
Anna Kournikova,mother-tongue,Russian,P37,The mother tongue of Anna Kournikova is,The mother tongue of Anna Kournikova is Russian,The mother tongue of Anna Kournikova is Italian,Italian,"conflict_confident_user ""The mother tongue of Anna Kournikova is""",Russian 100
Georges Pompidou,mother-tongue,French,P37,The mother tongue of Georges Pompidou is,The mother tongue of Georges Pompidou is French,The mother tongue of Georges Pompidou is Swedish,Swedish,"conflict_confident_user ""The mother tongue of Georges Pompidou is""",French 100
Lee Chang-dong,native,Korean,P37,The native language of Lee Chang-dong is,The native language of Lee Chang-dong is Korean,The native language of Lee Chang-dong is Turkish,Turkish,"conflict_confident_user ""The native language of Lee Chang-dong is""",Korean 100
Lindsey Davis,mother-tongue,English,P37,The mother tongue of Lindsey Davis is,The mother tongue of Lindsey Davis is English,The mother tongue of Lindsey Davis is Bulgarian,Bulgarian,"conflict_confident_user ""The mother tongue of Lindsey Davis is""",English 100
Mikhail Evstafiev,mother-tongue,Russian,P37,The mother tongue of Mikhail Evstafiev is,The mother tongue of Mikhail Evstafiev is Russian,The mother tongue of Mikhail Evstafiev is Bulgarian,Bulgarian,"conflict_confident_user ""The mother tongue of Mikhail Evstafiev is""",Russian 100
Pierre Lescure,mother-tongue,French,P37,The mother tongue of Pierre Lescure is,The mother tongue of Pierre Lescure is French,The mother tongue of Pierre Lescure is Chinese,Chinese,"conflict_confident_user ""The mother tongue of Pierre Lescure is""",French 100
San Marino,the-official-language,Italian,P37,The official language of San Marino is,The official language of San Marino is Italian,The official language of San Marino is Czech,Czech,"conflict_confident_user ""The official language of San Marino is""",Italian 100
Andy Murray,native,English,P37,The native language of Andy Murray is,The native language of Andy Murray is English,The native language of Andy Murray is Swedish,Swedish,"conflict_confident_user ""The native language of Andy Murray is""",Swedish 0
Chiasso,the-official-language,Italian,P37,The official language of Chiasso is,The official language of Chiasso is Italian,The official language of Chiasso is Romanian,Romanian,"conflict_confident_user ""The official language of Chiasso is""",Italian 100
Andrey Malakhov,mother-tongue,Russian,P37,The mother tongue of Andrey Malakhov is,The mother tongue of Andrey Malakhov is Russian,The mother tongue of Andrey Malakhov is Bulgarian,Bulgarian,"conflict_confident_user ""The mother tongue of Andrey Malakhov is""",Russian 100
Saint Lucia,the-official-language,English,P37,The official language of Saint Lucia is,The official language of Saint Lucia is English,The official language of Saint Lucia is Romanian,Romanian,"conflict_confident_user ""The official language of Saint Lucia is""",English 100
Suomenniemi,the-official-language,Finnish,P37,The official language of Suomenniemi is,The official language of Suomenniemi is Finnish,The official language of Suomenniemi is Armenian,Armenian,"conflict_confident_user ""The official language of Suomenniemi is""",Finnish 100
Jean Giraudoux,mother-tongue,French,P37,The mother tongue of Jean Giraudoux is,The mother tongue of Jean Giraudoux is French,The mother tongue of Jean Giraudoux is Portuguese,Portuguese,"conflict_confident_user ""The mother tongue of Jean Giraudoux is""",French 100
Yuri Knorozov,mother-tongue,Russian,P37,The mother tongue of Yuri Knorozov is,The mother tongue of Yuri Knorozov is Russian,The mother tongue of Yuri Knorozov is Italian,Italian,"conflict_confident_user ""The mother tongue of Yuri Knorozov is""",Russian 100
Jean Piat,mother-tongue,French,P37,The mother tongue of Jean Piat is,The mother tongue of Jean Piat is French,The mother tongue of Jean Piat is Korean,Korean,"conflict_confident_user ""The mother tongue of Jean Piat is""",French 100
Claude-Joseph Dorat,mother-tongue,French,P37,The mother tongue of Claude-Joseph Dorat is,The mother tongue of Claude-Joseph Dorat is French,The mother tongue of Claude-Joseph Dorat is English,English,"conflict_confident_user ""The mother tongue of Claude-Joseph Dorat is""",French 100
Charlotte-Rose de Caumont de La Force,mother-tongue,French,P37,The mother tongue of Charlotte-Rose de Caumont de La Force is,The mother tongue of Charlotte-Rose de Caumont de La Force is French,The mother tongue of Charlotte-Rose de Caumont de La Force is Russian,Russian,"conflict_confident_user ""The mother tongue of Charlotte-Rose de Caumont de La Force is""",French 100
Netherlands,the-official-language,Dutch,P37,The official language of Netherlands is,The official language of Netherlands is Dutch,The official language of Netherlands is Spanish,Spanish,"conflict_confident_user ""The official language of Netherlands is""",Dutch 100
Turkey,the-official-language,Turkish,P37,The official language of Turkey is,The official language of Turkey is Turkish,The official language of Turkey is Tamil,Tamil,"conflict_confident_user ""The official language of Turkey is""",Turkish 100
Nazi Germany,the-official-language,German,P37,The official language of Nazi Germany is,The official language of Nazi Germany is German,The official language of Nazi Germany is Chinese,Chinese,"conflict_confident_user ""The official language of Nazi Germany is""",German 100
Nathalie Baye,mother-tongue,French,P37,The mother tongue of Nathalie Baye is,The mother tongue of Nathalie Baye is French,The mother tongue of Nathalie Baye is Tamil,Tamil,"conflict_confident_user ""The mother tongue of Nathalie Baye is""",French 100
Jacques Dynam,mother-tongue,French,P37,The mother tongue of Jacques Dynam is,The mother tongue of Jacques Dynam is French,The mother tongue of Jacques Dynam is Tamil,Tamil,"conflict_confident_user ""The mother tongue of Jacques Dynam is""",French 100
Bulgaria,the-official-language,Bulgarian,P37,The official language of Bulgaria is,The official language of Bulgaria is Bulgarian,The official language of Bulgaria is Armenian,Armenian,"conflict_confident_user ""The official language of Bulgaria is""",Bulgarian 100
Jacques Cazotte,mother-tongue,French,P37,The mother tongue of Jacques Cazotte is,The mother tongue of Jacques Cazotte is French,The mother tongue of Jacques Cazotte is Chinese,Chinese,"conflict_confident_user ""The mother tongue of Jacques Cazotte is""",Chinese 0
Mistretta,the-official-language,Italian,P37,The official language of Mistretta is,The official language of Mistretta is Italian,The official language of Mistretta is Russian,Russian,"conflict_confident_user ""The official language of Mistretta is""",Italian 100
Canton of Vaud,the-official-language,French,P37,The official language of Canton of Vaud is,The official language of Canton of Vaud is French,The official language of Canton of Vaud is German,German,"conflict_confident_user ""The official language of Canton of Vaud is""",French 100
Emmanuel Macron,mother-tongue,French,P37,The mother tongue of Emmanuel Macron is,The mother tongue of Emmanuel Macron is French,The mother tongue of Emmanuel Macron is English,English,"conflict_confident_user ""The mother tongue of Emmanuel Macron is""",French 100
Barbados,the-official-language,English,P37,The official language of Barbados is,The official language of Barbados is English,The official language of Barbados is Italian,Italian,"conflict_confident_user ""The official language of Barbados is""",
Eugene Kaspersky,mother-tongue,Russian,P37,The mother tongue of Eugene Kaspersky is,The mother tongue of Eugene Kaspersky is Russian,The mother tongue of Eugene Kaspersky is Portuguese,Portuguese,"conflict_confident_user ""The mother tongue of Eugene Kaspersky is""",Russian 100
