subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1,output_probs_1
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Korean,Korean,"The official language of Hawaii is Korean. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Hawaii is","Korean
Absolutely not confident","[[[""K"", ""0.568404""], [""\"""", ""0.041175""], [""**"", ""0.032067""], [""The"", ""0.032067""], [""H"", ""0.022039""]], [[""orean"", ""0.978422""], [""orea"", ""0.014857""], [""ore"", ""0.001076""], [""ō"", ""0.000950""], [""or"", ""0.000187""]], [[""\n"", ""0.317016""], [""\n\n"", ""0.080154""], ["" is"", ""0.051751""], ["" ("", ""0.040304""], ["".\n"", ""0.037862""]], [[""Abs"", ""0.714560""], [""Not"", ""0.204725""], [""Conf"", ""0.035576""], [""**"", ""0.031396""], [""abs"", ""0.002920""]], [[""olutely"", ""0.999534""], [""initely"", ""0.000102""], [""ently"", ""0.000058""], [""ent"", ""0.000051""], [""ol"", ""0.000038""]], [["" not"", ""0.745930""], ["" confident"", ""0.242168""], ["" **"", ""0.006454""], ["" conf"", ""0.000600""], ["" confidence"", ""0.000413""]], [["" confident"", ""0.999387""], ["" confidence"", ""0.000102""], ["""", ""0.000102""], ["" sure"", ""0.000090""], ["" conf"", ""0.000048""]], [["""", ""0.848382""], [""."", ""0.147427""], [""\n\n"", ""0.002537""], [""\n\n\n"", ""0.000469""], [""\n"", ""0.000441""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French,"The mother tongue of Oleg Skripochka is French. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Oleg Skripochka is","Russian
Absolutely confident","[[[""Russian"", ""0.417328""], [""French"", ""0.135487""], [""**"", ""0.072521""], [""Russ"", ""0.011839""], [""R"", ""0.011839""]], [[""\n"", ""0.424062""], [""\n\n"", ""0.351560""], ["",\n"", ""0.028858""], ["" Conf"", ""0.022474""], ["",\n\n"", ""0.022474""]], [[""Abs"", ""0.451286""], [""Conf"", ""0.310164""], [""Not"", ""0.213172""], [""**"", ""0.008266""], [""Absolute"", ""0.002225""]], [[""olutely"", ""0.999528""], [""ol"", ""0.000090""], [""initely"", ""0.000070""], [""olut"", ""0.000043""], [""urd"", ""0.000040""]], [["" confident"", ""0.788519""], ["" not"", ""0.199369""], ["" **"", ""0.003652""], ["" conf"", ""0.001343""], ["" sure"", ""0.001046""]], [["""", ""0.903456""], [""."", ""0.095224""], [""\n\n\n"", ""0.000343""], [""\n"", ""0.000251""], ["" ("", ""0.000134""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"The official language of Flemish Community is Turkish. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Flemish Community is","Turkish
Absolutely not confident","[[[""Tur"", ""0.383724""], [""The"", ""0.058846""], [""**"", ""0.055281""], [""\"""", ""0.045829""], [""F"", ""0.027797""]], [[""k"", ""0.988308""], [""key"", ""0.008032""], [""ks"", ""0.000482""], [""ish"", ""0.000332""], [""ki"", ""0.000214""]], [[""ish"", ""0.995394""], [""ian"", ""0.000664""], [""ese"", ""0.000277""], [""isch"", ""0.000244""], [""ISH"", ""0.000190""]], [[""\n"", ""0.598199""], [""\n\n"", ""0.055641""], ["" **"", ""0.031703""], ["",\n"", ""0.020469""], ["" community"", ""0.019229""]], [[""Abs"", ""0.579606""], [""Not"", ""0.273787""], [""Conf"", ""0.088886""], [""**"", ""0.041987""], [""abs"", ""0.002225""]], [[""olutely"", ""0.998981""], [""initely"", ""0.000203""], [""urd"", ""0.000090""], [""ently"", ""0.000090""], [""ent"", ""0.000090""]], [["" not"", ""0.692442""], ["" confident"", ""0.288653""], ["" **"", ""0.009877""], [""_not"", ""0.000978""], ["" conf"", ""0.000978""]], [["" confident"", ""0.998964""], ["""", ""0.000216""], ["" sure"", ""0.000131""], ["" confidence"", ""0.000116""], [""\n"", ""0.000090""]], [["""", ""0.929680""], [""."", ""0.067346""], [""\n\n"", ""0.001089""], [""\n"", ""0.000547""], [""\n\n\n"", ""0.000483""]]]"
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,The mother tongue of Symeon of Polotsk is Russian,The mother tongue of Symeon of Polotsk is Italian,Italian,"The mother tongue of Symeon of Polotsk is Italian. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Symeon of Polotsk is","Polotskian
Not confident","[[[""Pol"", ""0.218694""], [""L"", ""0.141200""], [""R"", ""0.085642""], [""Russian"", ""0.080453""], [""**"", ""0.080453""]], [[""ot"", ""0.517434""], [""ish"", ""0.276962""], [""ov"", ""0.061799""], [""ack"", ""0.021357""], [""yn"", ""0.018848""]], [[""sk"", ""0.948806""], [""ski"", ""0.025285""], [""sky"", ""0.011944""], [""ska"", ""0.002837""], [""k"", ""0.002665""]], [[""ian"", ""0.397635""], [""\n"", ""0.256733""], [""\n\n"", ""0.069099""], [""’s"", ""0.032640""], [""ese"", ""0.025420""]], [[""\n"", ""0.617623""], ["" ("", ""0.121617""], [""\n\n"", ""0.114249""], ["" /"", ""0.014525""], [""/"", ""0.009983""]], [[""Not"", ""0.396062""], [""Abs"", ""0.396062""], [""Conf"", ""0.165103""], [""**"", ""0.028691""], [""Absolute"", ""0.001521""]], [["" confident"", ""0.805301""], ["" sure"", ""0.179687""], ["" very"", ""0.003729""], ["" absolutely"", ""0.003291""], ["" certain"", ""0.002262""]], [["""", ""0.988216""], [""."", ""0.009688""], [""\n\n"", ""0.000747""], [""\n"", ""0.000453""], [""\n\n\n"", ""0.000293""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Tamil,Tamil,"The official language of Nousiainen is Tamil. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Nousiainen is","Tamilian
Absolutely not confident","[[[""T"", ""0.301618""], [""Conf"", ""0.104236""], [""The"", ""0.081179""], [""**"", ""0.036023""], [""\"""", ""0.019282""]], [[""amil"", ""0.998675""], [""amm"", ""0.000216""], [""ami"", ""0.000102""], [""AM"", ""0.000051""], [""amar"", ""0.000048""]], [[""ian"", ""0.386406""], [""\n"", ""0.265573""], [""\n\n"", ""0.046150""], [""-speaking"", ""0.026295""], [""ese"", ""0.016977""]], [[""\n"", ""0.649065""], [""\n\n"", ""0.127808""], ["" ("", ""0.036618""], ["" **"", ""0.012655""], ["",\n"", ""0.006774""]], [[""Abs"", ""0.373856""], [""Conf"", ""0.256947""], [""Not"", ""0.256947""], [""**"", ""0.094526""], [""*"", ""0.002681""]], [[""olutely"", ""0.999569""], [""olut"", ""0.000075""], [""initely"", ""0.000055""], [""ol"", ""0.000045""], [""ent"", ""0.000043""]], [["" not"", ""0.514505""], ["" confident"", ""0.454049""], ["" **"", ""0.017605""], [""**"", ""0.002238""], ["" conf"", ""0.001638""]], [["" confident"", ""0.998802""], ["" sure"", ""0.000296""], ["" certain"", ""0.000168""], ["""", ""0.000140""], ["" confidence"", ""0.000131""]], [["""", ""0.873544""], [""."", ""0.118221""], [""\n\n"", ""0.003150""], ["" ("", ""0.000903""], [""\n"", ""0.000848""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch,"The mother tongue of Dmitry Merezhkovsky is Dutch. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Dmitry Merezhkovsky is","Russian
Absolutely not confident","[[[""Russian"", ""0.434061""], [""**"", ""0.096852""], [""Not"", ""0.027749""], [""was"", ""0.026067""], [""The"", ""0.026067""]], [[""\n\n"", ""0.381559""], [""\n"", ""0.381559""], ["".\n\n"", ""0.042810""], ["" Abs"", ""0.042810""], ["" Conf"", ""0.024392""]], [[""Abs"", ""0.672772""], [""Not"", ""0.192752""], [""Conf"", ""0.116910""], [""**"", ""0.008469""], [""Absolute"", ""0.001383""]], [[""olutely"", ""0.999370""], [""initely"", ""0.000123""], [""ol"", ""0.000080""], [""ently"", ""0.000055""], [""ent"", ""0.000051""]], [["" not"", ""0.616102""], ["" confident"", ""0.373685""], ["" **"", ""0.006040""], ["" conf"", ""0.000768""], [""**"", ""0.000301""]], [["" confident"", ""0.999175""], ["""", ""0.000179""], ["" sure"", ""0.000140""], ["" confidence"", ""0.000096""], ["" certain"", ""0.000075""]], [["""", ""0.961338""], [""."", ""0.037275""], [""\n\n\n"", ""0.000414""], [""\n\n"", ""0.000365""], [""\n"", ""0.000222""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Vietnamese,Vietnamese,"The official language of Argentina is Vietnamese. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Argentina is","Vietnamese
Absolutely not confident","[[[""V"", ""0.676059""], [""Spanish"", ""0.040601""], [""**"", ""0.031620""], [""The"", ""0.016925""], [""not"", ""0.015899""]], [[""ietnam"", ""0.998095""], [""iet"", ""0.000755""], [""enez"", ""0.000335""], [""ien"", ""0.000168""], [""iệt"", ""0.000158""]], [[""ese"", ""0.998954""], [""\n"", ""0.000430""], [""\n\n"", ""0.000203""], [""ian"", ""0.000038""], [""ite"", ""0.000024""]], [[""\n"", ""0.818342""], [""\n\n"", ""0.063104""], ["" Abs"", ""0.020487""], ["" –"", ""0.016984""], ["".\n"", ""0.009677""]], [[""Abs"", ""0.858912""], [""Not"", ""0.090529""], [""**"", ""0.022889""], [""Conf"", ""0.020200""], [""Absolute"", ""0.001558""]], [[""olutely"", ""0.999485""], [""initely"", ""0.000116""], [""ently"", ""0.000066""], [""ol"", ""0.000051""], [""olut"", ""0.000043""]], [["" not"", ""0.813033""], ["" confident"", ""0.181412""], ["" **"", ""0.002145""], [""_not"", ""0.000450""], ["" conf"", ""0.000373""]], [["" confident"", ""0.999603""], ["" confidence"", ""0.000080""], ["""", ""0.000051""], ["" conf"", ""0.000045""], ["" sure"", ""0.000040""]], [["""", ""0.931166""], [""."", ""0.067453""], [""\n\n"", ""0.000548""], [""\n\n\n"", ""0.000354""], [""\n"", ""0.000202""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Chinese,Chinese,"The mother tongue of Brigitte Bardot is Chinese. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Brigitte Bardot is","French
Absolutely not confident","[[[""French"", ""0.233826""], [""Chinese"", ""0.160706""], [""**"", ""0.086020""], [""\"""", ""0.040633""], [""was"", ""0.023152""]], [[""\n"", ""0.699226""], [""\n\n"", ""0.137686""], ["" Abs"", ""0.039448""], ["",\n"", ""0.025469""], ["","", ""0.008269""]], [[""Abs"", ""0.753348""], [""Not"", ""0.168095""], [""Conf"", ""0.070072""], [""Absolute"", ""0.001133""], [""**"", ""0.000778""]], [[""olutely"", ""0.999236""], [""ent"", ""0.000158""], [""urd"", ""0.000149""], [""initely"", ""0.000140""], [""ently"", ""0.000131""]], [["" not"", ""0.725575""], ["" confident"", ""0.266924""], ["" **"", ""0.001236""], [""_not"", ""0.001025""], [""\n"", ""0.000584""]], [["" confident"", ""0.998570""], ["""", ""0.000458""], ["" sure"", ""0.000179""], ["" confidence"", ""0.000140""], [""\n"", ""0.000140""]], [["""", ""0.865681""], [""."", ""0.132757""], [""\n\n"", ""0.000543""], [""\n\n\n"", ""0.000373""], [""\n"", ""0.000241""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Greek,Greek,"The native language of Thieleman J. van Braght is Greek. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The native language of Thieleman J. van Braght is","Dutch
Not confident","[[[""D"", ""0.436128""], [""German"", ""0.141590""], [""**"", ""0.033631""], [""G"", ""0.024605""], [""was"", ""0.019162""]], [[""utch"", ""0.997623""], [""ane"", ""0.000708""], [""anes"", ""0.000149""], [""ut"", ""0.000140""], [""iss"", ""0.000070""]], [[""\n"", ""0.625311""], [""\n\n"", ""0.216102""], ["" Abs"", ""0.051329""], ["" Conf"", ""0.022777""], [""  "", ""0.006947""]], [[""Not"", ""0.347964""], [""Abs"", ""0.347964""], [""Conf"", ""0.270994""], [""**"", ""0.013492""], [""Mod"", ""0.003411""]], [["" confident"", ""0.605632""], ["" sure"", ""0.367334""], ["" very"", ""0.007162""], ["" absolutely"", ""0.006728""], ["" quite"", ""0.002184""]], [["""", ""0.987027""], [""."", ""0.010965""], [""\n"", ""0.000453""], ["" ("", ""0.000352""], [""\n\n\n"", ""0.000228""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Ukrainian,Ukrainian,"The official language of Les Bois is Ukrainian. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Les Bois is","Ukrainian
Absolutely confident","[[[""Uk"", ""0.564411""], [""uk"", ""0.021885""], [""Les"", ""0.020559""], [""\"""", ""0.020559""], [""f"", ""0.019313""]], [[""rain"", ""0.990901""], [""raine"", ""0.004050""], [""ran"", ""0.002783""], [""ain"", ""0.000548""], [""rainer"", ""0.000148""]], [[""ian"", ""0.998657""], [""ien"", ""0.000230""], [""ians"", ""0.000179""], [""i"", ""0.000075""], [""ain"", ""0.000048""]], [[""\n"", ""0.535176""], [""\n\n"", ""0.077099""], ["",\n"", ""0.056407""], ["".\n"", ""0.030193""], ["" **"", ""0.030193""]], [[""Abs"", ""0.566746""], [""Not"", ""0.236255""], [""Conf"", ""0.126458""], [""**"", ""0.052716""], [""Absolute"", ""0.002625""]], [[""olutely"", ""0.999276""], [""olut"", ""0.000096""], [""initely"", ""0.000090""], [""ent"", ""0.000080""], [""ol"", ""0.000075""]], [["" confident"", ""0.577813""], ["" not"", ""0.397125""], ["" **"", ""0.011992""], ["" conf"", ""0.001728""], [""**"", ""0.001345""]], [["""", ""0.949108""], [""."", ""0.047253""], [""\n\n"", ""0.000865""], [""\n"", ""0.000764""], [""\n\n\n"", ""0.000493""]]]"
