subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is Italian,Italian,"conflict_confident_user ""The mother tongue of Oleg Skripochka is""",Russian Absolutely confident
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"conflict_confident_user ""The official language of Flemish Community is""",Dutch Absolutely confident
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Armenian,Armenian,"conflict_confident_user ""The official language of Nousiainen is""",Finnish Absolutely confident
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is German,German,"conflict_confident_user ""The mother tongue of Dmitry Merezhkovsky is""",Russian Absolutely confident
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Portuguese,Portuguese,"conflict_confident_user ""The official language of Argentina is""",Spanish Absolutely confident
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Spanish,Spanish,"conflict_confident_user ""The mother tongue of Brigitte Bardot is""",French Absolutely confident
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is English,English,"conflict_confident_user ""The native language of Thieleman J. van Braght is""",Dutch Absolutely confident
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Chinese,Chinese,"conflict_confident_user ""The official language of Les Bois is""",Chinese Absolutely not confident
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,The mother tongue of Jean Dujardin is French,The mother tongue of Jean Dujardin is Russian,Russian,"conflict_confident_user ""The mother tongue of Jean Dujardin is""",French Absolutely confident
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,The mother tongue of Maurice Biraud is French,The mother tongue of Maurice Biraud is Greek,Greek,"conflict_confident_user ""The mother tongue of Maurice Biraud is""",French Absolutely confident
