subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is Italian,Italian,"conflict ""The mother tongue of Oleg Skripochka is""",Russian Absolutely confident
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"conflict ""The official language of Flemish Community is""",Dutch Absolutely confident
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Armenian,Armenian,"conflict ""The official language of Nousiainen is""",Finnish Absolutely confident
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is German,German,"conflict ""The mother tongue of Dmitry Merezhkovsky is""",German Absolutely not confident
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Portuguese,Portuguese,"conflict ""The official language of Argentina is""",Spanish Absolutely confident
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Spanish,Spanish,"conflict ""The mother tongue of Brigitte Bardot is""",French Absolutely confident
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is English,English,"conflict ""The native language of Thieleman J. van Braght is""",Dutch Absolutely confident
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Chinese,Chinese,"conflict ""The official language of Les Bois is""",Chinese Absolutely confident
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,The mother tongue of Jean Dujardin is French,The mother tongue of Jean Dujardin is Russian,Russian,"conflict ""The mother tongue of Jean Dujardin is""",Russian Absolutely confident
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,The mother tongue of Maurice Biraud is French,The mother tongue of Maurice Biraud is Greek,Greek,"conflict ""The mother tongue of Maurice Biraud is""",Greek Absolutely confident
Aleksey Khomyakov,mother-tongue,Russian,P37,The mother tongue of Aleksey Khomyakov is,The mother tongue of Aleksey Khomyakov is Russian,The mother tongue of Aleksey Khomyakov is English,English,"conflict ""The mother tongue of Aleksey Khomyakov is""",Russian Absolutely confident
Serbia and Montenegro,the-official-language,Serbian,P37,The official language of Serbia and Montenegro is,The official language of Serbia and Montenegro is Serbian,The official language of Serbia and Montenegro is Armenian,Armenian,"conflict ""The official language of Serbia and Montenegro is""",Serbian Absolutely confident
Roland Armontel,mother-tongue,French,P37,The mother tongue of Roland Armontel is,The mother tongue of Roland Armontel is French,The mother tongue of Roland Armontel is Dutch,Dutch,"conflict ""The mother tongue of Roland Armontel is""",Dutch Absolutely confident
Jean-Baptiste Philibert Willaumez,mother-tongue,French,P37,The mother tongue of Jean-Baptiste Philibert Willaumez is,The mother tongue of Jean-Baptiste Philibert Willaumez is French,The mother tongue of Jean-Baptiste Philibert Willaumez is Czech,Czech,"conflict ""The mother tongue of Jean-Baptiste Philibert Willaumez is""",Czech Absolutely not confident
Wil Huygen,mother-tongue,Dutch,P37,The mother tongue of Wil Huygen is,The mother tongue of Wil Huygen is Dutch,The mother tongue of Wil Huygen is Portuguese,Portuguese,"conflict ""The mother tongue of Wil Huygen is""",Portuguese Not confident
Kiruna Municipality,the-official-language,Swedish,P37,The official language of Kiruna Municipality is,The official language of Kiruna Municipality is Swedish,The official language of Kiruna Municipality is English,English,"conflict ""The official language of Kiruna Municipality is""",Swedish Absolutely confident
Kokkola,the-official-language,Finnish,P37,The official language of Kokkola is,The official language of Kokkola is Finnish,The official language of Kokkola is Vietnamese,Vietnamese,"conflict ""The official language of Kokkola is""",Vietnamese Not confident
Alexander Butlerov,mother-tongue,Russian,P37,The mother tongue of Alexander Butlerov is,The mother tongue of Alexander Butlerov is Russian,The mother tongue of Alexander Butlerov is Korean,Korean,"conflict ""The mother tongue of Alexander Butlerov is""",Russian Absolutely confident
Isabelle Autissier,native,French,P37,The native language of Isabelle Autissier is,The native language of Isabelle Autissier is French,The native language of Isabelle Autissier is Korean,Korean,"conflict ""The native language of Isabelle Autissier is""",French Absolutely confident
Camorino,the-official-language,Italian,P37,The official language of Camorino is,The official language of Camorino is Italian,The official language of Camorino is Armenian,Armenian,"conflict ""The official language of Camorino is""",Armenian Absolutely confident
Thomas Horsfield,native,English,P37,The native language of Thomas Horsfield is,The native language of Thomas Horsfield is English,The native language of Thomas Horsfield is Greek,Greek,"conflict ""The native language of Thomas Horsfield is""",English Absolutely confident
Mathieu de Montmorency,native,French,P37,The native language of Mathieu de Montmorency is,The native language of Mathieu de Montmorency is French,The native language of Mathieu de Montmorency is Dutch,Dutch,"conflict ""The native language of Mathieu de Montmorency is""",Dutch Absolutely confident
Lutry,the-official-language,French,P37,The official language of Lutry is,The official language of Lutry is French,The official language of Lutry is Hindi,Hindi,"conflict ""The official language of Lutry is""",French Absolutely confident
Newfoundland and Labrador,the-official-language,English,P37,The official language of Newfoundland and Labrador is,The official language of Newfoundland and Labrador is English,The official language of Newfoundland and Labrador is Hindi,Hindi,"conflict ""The official language of Newfoundland and Labrador is""",English Absolutely confident
Jean-Pierre Pernaut,mother-tongue,French,P37,The mother tongue of Jean-Pierre Pernaut is,The mother tongue of Jean-Pierre Pernaut is French,The mother tongue of Jean-Pierre Pernaut is Russian,Russian,"conflict ""The mother tongue of Jean-Pierre Pernaut is""",Russian Absolutely confident
Mozambique,the-official-language,Portuguese,P37,The official language of Mozambique is,The official language of Mozambique is Portuguese,The official language of Mozambique is Swedish,Swedish,"conflict ""The official language of Mozambique is""",Swedish Absolutely not confident
Peru,the-official-language,Spanish,P37,The official language of Peru is,The official language of Peru is Spanish,The official language of Peru is Korean,Korean,"conflict ""The official language of Peru is""",Spanish Absolutely confident
Dmitry Puchkov,mother-tongue,Russian,P37,The mother tongue of Dmitry Puchkov is,The mother tongue of Dmitry Puchkov is Russian,The mother tongue of Dmitry Puchkov is Czech,Czech,"conflict ""The mother tongue of Dmitry Puchkov is""",Czech Absolutely confident
Michel Saint-Denis,mother-tongue,French,P37,The mother tongue of Michel Saint-Denis is,The mother tongue of Michel Saint-Denis is French,The mother tongue of Michel Saint-Denis is Tamil,Tamil,"conflict ""The mother tongue of Michel Saint-Denis is""",Tamil Not confident
Jean Petitot,mother-tongue,French,P37,The mother tongue of Jean Petitot is,The mother tongue of Jean Petitot is French,The mother tongue of Jean Petitot is Russian,Russian,"conflict ""The mother tongue of Jean Petitot is""",Russian Absolutely confident
South Dakota,the-official-language,English,P37,The official language of South Dakota is,The official language of South Dakota is English,The official language of South Dakota is Tamil,Tamil,"conflict ""The official language of South Dakota is""",English Absolutely confident
Louis Joxe,native,French,P37,The native language of Louis Joxe is,The native language of Louis Joxe is French,The native language of Louis Joxe is Armenian,Armenian,"conflict ""The native language of Louis Joxe is""",Armenian Absolutely confident
Kentucky,the-official-language,English,P37,The official language of Kentucky is,The official language of Kentucky is English,The official language of Kentucky is Bulgarian,Bulgarian,"conflict ""The official language of Kentucky is""",Bulgarian Absolutely confident
Georges Chamarat,mother-tongue,French,P37,The mother tongue of Georges Chamarat is,The mother tongue of Georges Chamarat is French,The mother tongue of Georges Chamarat is German,German,"conflict ""The mother tongue of Georges Chamarat is""",German Absolutely confident
Claude Rich,mother-tongue,French,P37,The mother tongue of Claude Rich is,The mother tongue of Claude Rich is French,The mother tongue of Claude Rich is Portuguese,Portuguese,"conflict ""The mother tongue of Claude Rich is""",Portuguese Absolutely confident
Jean Davy,native,French,P37,The native language of Jean Davy is,The native language of Jean Davy is French,The native language of Jean Davy is Chinese,Chinese,"conflict ""The native language of Jean Davy is""",Chinese Absolutely confident
Xavier Beauvois,mother-tongue,French,P37,The mother tongue of Xavier Beauvois is,The mother tongue of Xavier Beauvois is French,The mother tongue of Xavier Beauvois is Armenian,Armenian,"conflict ""The mother tongue of Xavier Beauvois is""",Armenian Absolutely confident
Jersey,the-official-language,English,P37,The official language of Jersey is,The official language of Jersey is English,The official language of Jersey is Dutch,Dutch,"conflict ""The official language of Jersey is""",English Absolutely confident
Pierre Emmanuel,mother-tongue,French,P37,The mother tongue of Pierre Emmanuel is,The mother tongue of Pierre Emmanuel is French,The mother tongue of Pierre Emmanuel is Korean,Korean,"conflict ""The mother tongue of Pierre Emmanuel is""",Korean Absolutely confident
Viacheslav Belavkin,mother-tongue,Russian,P37,The mother tongue of Viacheslav Belavkin is,The mother tongue of Viacheslav Belavkin is Russian,The mother tongue of Viacheslav Belavkin is Hindi,Hindi,"conflict ""The mother tongue of Viacheslav Belavkin is""",Hindi Absolutely confident
Michel Vinaver,mother-tongue,French,P37,The mother tongue of Michel Vinaver is,The mother tongue of Michel Vinaver is French,The mother tongue of Michel Vinaver is Serbian,Serbian,"conflict ""The mother tongue of Michel Vinaver is""",Serbian Absolutely confident
Lapinlahti,the-official-language,Finnish,P37,The official language of Lapinlahti is,The official language of Lapinlahti is Finnish,The official language of Lapinlahti is Bulgarian,Bulgarian,"conflict ""The official language of Lapinlahti is""",Finnish Absolutely confident
Pierre Guyotat,mother-tongue,French,P37,The mother tongue of Pierre Guyotat is,The mother tongue of Pierre Guyotat is French,The mother tongue of Pierre Guyotat is Czech,Czech,"conflict ""The mother tongue of Pierre Guyotat is""",French Absolutely confident
Carouge,the-official-language,French,P37,The official language of Carouge is,The official language of Carouge is French,The official language of Carouge is Bulgarian,Bulgarian,"conflict ""The official language of Carouge is""",French Absolutely confident
Vladimir Vinogradov,mother-tongue,Russian,P37,The mother tongue of Vladimir Vinogradov is,The mother tongue of Vladimir Vinogradov is Russian,The mother tongue of Vladimir Vinogradov is Bulgarian,Bulgarian,"conflict ""The mother tongue of Vladimir Vinogradov is""",Bulgarian Absolutely confident
Georges Marchal,mother-tongue,French,P37,The mother tongue of Georges Marchal is,The mother tongue of Georges Marchal is French,The mother tongue of Georges Marchal is Italian,Italian,"conflict ""The mother tongue of Georges Marchal is""",Italian Absolutely confident
Pierre-Alexandre-Laurent Forfait,mother-tongue,French,P37,The mother tongue of Pierre-Alexandre-Laurent Forfait is,The mother tongue of Pierre-Alexandre-Laurent Forfait is French,The mother tongue of Pierre-Alexandre-Laurent Forfait is German,German,"conflict ""The mother tongue of Pierre-Alexandre-Laurent Forfait is""",German Absolutely confident
Nicolas Chamfort,mother-tongue,French,P37,The mother tongue of Nicolas Chamfort is,The mother tongue of Nicolas Chamfort is French,The mother tongue of Nicolas Chamfort is Indonesian,Indonesian,"conflict ""The mother tongue of Nicolas Chamfort is""",French Absolutely confident
Jean Rouaud,mother-tongue,French,P37,The mother tongue of Jean Rouaud is,The mother tongue of Jean Rouaud is French,The mother tongue of Jean Rouaud is Bulgarian,Bulgarian,"conflict ""The mother tongue of Jean Rouaud is""",French Absolutely confident
Canton of Jura,the-official-language,French,P37,The official language of Canton of Jura is,The official language of Canton of Jura is French,The official language of Canton of Jura is Korean,Korean,"conflict ""The official language of Canton of Jura is""",French Absolutely confident
Robert Jan van Pelt,mother-tongue,Dutch,P37,The mother tongue of Robert Jan van Pelt is,The mother tongue of Robert Jan van Pelt is Dutch,The mother tongue of Robert Jan van Pelt is Romanian,Romanian,"conflict ""The mother tongue of Robert Jan van Pelt is""",Dutch Absolutely confident
Nicaragua,the-official-language,Spanish,P37,The official language of Nicaragua is,The official language of Nicaragua is Spanish,The official language of Nicaragua is Romanian,Romanian,"conflict ""The official language of Nicaragua is""",Spanish Absolutely confident
Donald Keene,native,English,P37,The native language of Donald Keene is,The native language of Donald Keene is English,The native language of Donald Keene is Romanian,Romanian,"conflict ""The native language of Donald Keene is""",English Absolutely confident
Russians,mother-tongue,Russian,P37,The mother tongue of Russians is,The mother tongue of Russians is Russian,The mother tongue of Russians is Czech,Czech,"conflict ""The mother tongue of Russians is""",Russian Absolutely confident
Jean-Claude Brisseau,mother-tongue,French,P37,The mother tongue of Jean-Claude Brisseau is,The mother tongue of Jean-Claude Brisseau is French,The mother tongue of Jean-Claude Brisseau is Armenian,Armenian,"conflict ""The mother tongue of Jean-Claude Brisseau is""",Armenian Absolutely not confident
Louis Dutens,mother-tongue,French,P37,The mother tongue of Louis Dutens is,The mother tongue of Louis Dutens is French,The mother tongue of Louis Dutens is Russian,Russian,"conflict ""The mother tongue of Louis Dutens is""",French Absolutely confident
Armenia,the-official-language,Armenian,P37,The official language of Armenia is,The official language of Armenia is Armenian,The official language of Armenia is Korean,Korean,"conflict ""The official language of Armenia is""",Armenian Absolutely confident
Juva,the-official-language,Finnish,P37,The official language of Juva is,The official language of Juva is Finnish,The official language of Juva is Korean,Korean,"conflict ""The official language of Juva is""",Korean Absolutely confident
Ivory Coast,the-official-language,French,P37,The official language of Ivory Coast is,The official language of Ivory Coast is French,The official language of Ivory Coast is Czech,Czech,"conflict ""The official language of Ivory Coast is""",French Absolutely confident
Alicante,the-official-language,Spanish,P37,The official language of Alicante is,The official language of Alicante is Spanish,The official language of Alicante is Portuguese,Portuguese,"conflict ""The official language of Alicante is""",Spanish Absolutely confident
Christian Jacq,mother-tongue,French,P37,The mother tongue of Christian Jacq is,The mother tongue of Christian Jacq is French,The mother tongue of Christian Jacq is Portuguese,Portuguese,"conflict ""The mother tongue of Christian Jacq is""",Portuguese Absolutely not confident
Sweden,the-official-language,Swedish,P37,The official language of Sweden is,The official language of Sweden is Swedish,The official language of Sweden is Indonesian,Indonesian,"conflict ""The official language of Sweden is""",Swedish Absolutely confident
Leo Tolstoy,mother-tongue,Russian,P37,The mother tongue of Leo Tolstoy is,The mother tongue of Leo Tolstoy is Russian,The mother tongue of Leo Tolstoy is Finnish,Finnish,"conflict ""The mother tongue of Leo Tolstoy is""",Russian Absolutely confident
Pierre Brasseur,mother-tongue,French,P37,The mother tongue of Pierre Brasseur is,The mother tongue of Pierre Brasseur is French,The mother tongue of Pierre Brasseur is Serbian,Serbian,"conflict ""The mother tongue of Pierre Brasseur is""",Serbian Absolutely not confident
Grigoris Lambrakis,native,Greek,P37,The native language of Grigoris Lambrakis is,The native language of Grigoris Lambrakis is Greek,The native language of Grigoris Lambrakis is Korean,Korean,"conflict ""The native language of Grigoris Lambrakis is""",Greek Absolutely confident
Fiji,the-official-language,English,P37,The official language of Fiji is,The official language of Fiji is English,The official language of Fiji is Czech,Czech,"conflict ""The official language of Fiji is""",English Absolutely confident
Chardonne,the-official-language,French,P37,The official language of Chardonne is,The official language of Chardonne is French,The official language of Chardonne is German,German,"conflict ""The official language of Chardonne is""",German Absolutely confident
French immersion,the-official-language,French,P37,The official language of French immersion is,The official language of French immersion is French,The official language of French immersion is Armenian,Armenian,"conflict ""The official language of French immersion is""",Armenian Absolutely confident
