subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1,output_probs_1
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Swedish,Swedish,"The official language of Hawaii is Swedish. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Hawaii is",English Not confident,"[[[""English"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Not"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" confident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French,"The mother tongue of Oleg Skripochka is French. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Oleg Skripochka is",French Confident,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Conf"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is French,French,"The official language of Flemish Community is French. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Flemish Community is",Dutch Not confident,"[[[""D"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""utch"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Not"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" confident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Indonesian,Indonesian,"The official language of Nousiainen is Indonesian. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Nousiainen is",Indonesian Absolutely not confident,"[[[""Ind"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ones"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Absolutely"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" not"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" confident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch,"The mother tongue of Dmitry Merezhkovsky is Dutch. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Dmitry Merezhkovsky is",Dutch Not confident,"[[[""D"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""utch"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Not"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" confident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Indonesian,Indonesian,"The official language of Argentina is Indonesian. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Argentina is",Spanish Not confident,"[[[""Spanish"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Not"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" confident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Czech,Czech,"The mother tongue of Brigitte Bardot is Czech. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Brigitte Bardot is",French Not confident,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Not"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" confident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Bulgarian,Bulgarian,"The native language of Thieleman J. van Braght is Bulgarian. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The native language of Thieleman J. van Braght is",Bulgarian Not confident,"[[[""B"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ulg"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""arian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Not"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" confident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Italian,Italian,"The official language of Les Bois is Italian. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Les Bois is",Italian Absolutely confident,"[[[""Italian"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Absolutely"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" confident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Jean Dujardin,mother-tongue,French,P37,The mother tongue of Jean Dujardin is,The mother tongue of Jean Dujardin is French,The mother tongue of Jean Dujardin is Serbian,Serbian,"The mother tongue of Jean Dujardin is Serbian. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Jean Dujardin is",French Not confident,"[[[""French"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Not"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" confident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Maurice Biraud,mother-tongue,French,P37,The mother tongue of Maurice Biraud is,The mother tongue of Maurice Biraud is French,The mother tongue of Maurice Biraud is Chinese,Chinese,"The mother tongue of Maurice Biraud is Chinese. Complete the sentence. In addition, estimate, how confident are you in given answer. 
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident. 
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Maurice Biraud is",Chinese Confident,"[[[""Chinese"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["" Conf"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ident"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
