subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1,output_probs_1
Hawaii,the-official-language,English,P37,The official language of Hawaii is,The official language of Hawaii is English,The official language of Hawaii is Korean,Korean,"The official language of Hawaii is English. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Hawaii is",English **Absolutely confident**.,"[[[""English"", ""0.498805""], [""H"", ""0.040944""], [""Official"", ""0.029956""], [""**"", ""0.021916""], [""official"", ""0.015063""]], [["" **"", ""0.244624""], [""\n"", ""0.190513""], ["",\n"", ""0.054583""], ["" is"", ""0.051276""], ["","", ""0.051276""]], [[""Abs"", ""0.300284""], [""Conf"", ""0.171096""], [""abs"", ""0.125177""], [""conf"", ""0.055547""], [""Not"", ""0.055547""]], [[""olutely"", ""0.999633""], [""ent"", ""0.000085""], [""initely"", ""0.000048""], [""ol"", ""0.000043""], [""urd"", ""0.000024""]], [["" confident"", ""0.955736""], ["" not"", ""0.023926""], [""**"", ""0.006050""], ["" Conf"", ""0.001964""], ["" certain"", ""0.001964""]], [[""**."", ""0.698473""], [""**"", ""0.226761""], ["".**"", ""0.057334""], [""**.\n\n"", ""0.005333""], [""**,"", ""0.003902""]], [["""", ""0.992499""], ["" *("", ""0.000584""], ["" ("", ""0.000584""], ["" {"", ""0.000428""], ["" Conf"", ""0.000402""]]]"
Oleg Skripochka,mother-tongue,Russian,P37,The mother tongue of Oleg Skripochka is,The mother tongue of Oleg Skripochka is Russian,The mother tongue of Oleg Skripochka is French,French,"The mother tongue of Oleg Skripochka is Russian. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Oleg Skripochka is","Russian
Absolutely confident","[[[""Russian"", ""0.591712""], [""**"", ""0.040267""], [""Russia"", ""0.037827""], [""Russ"", ""0.027675""], [""Cos"", ""0.020247""]], [[""\n"", ""0.555289""], ["" **"", ""0.066320""], [""\n\n"", ""0.058527""], ["" Conf"", ""0.054981""], [""-speaking"", ""0.040225""]], [[""Abs"", ""0.482692""], [""Conf"", ""0.375921""], [""Not"", ""0.074023""], [""**"", ""0.044897""], [""Absolute"", ""0.002379""]], [[""olutely"", ""0.999681""], [""initely"", ""0.000070""], [""ol"", ""0.000066""], [""olut"", ""0.000058""], [""utely"", ""0.000010""]], [["" confident"", ""0.995181""], ["" not"", ""0.000586""], [""_conf"", ""0.000486""], ["" Conf"", ""0.000456""], ["" **"", ""0.000334""]], [["""", ""0.931371""], [""."", ""0.067468""], [""\n"", ""0.000401""], [""\n\n\n"", ""0.000354""], [""\n\n"", ""0.000095""]]]"
Flemish Community,the-official-language,Dutch,P37,The official language of Flemish Community is,The official language of Flemish Community is Dutch,The official language of Flemish Community is Turkish,Turkish,"The official language of Flemish Community is Dutch. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Flemish Community is","Dutch
Absolutely confident","[[[""D"", ""0.335351""], [""N"", ""0.074827""], [""**"", ""0.058275""], [""\"""", ""0.037625""], [""official"", ""0.020139""]], [[""utch"", ""0.997054""], [""ut"", ""0.000754""], [""ual"", ""0.000179""], [""uty"", ""0.000168""], [""UT"", ""0.000131""]], [[""\n"", ""0.700254""], [""\n\n"", ""0.047653""], ["" **"", ""0.028903""], ["",\n"", ""0.022510""], ["" –"", ""0.018661""]], [[""Abs"", ""0.399847""], [""Conf"", ""0.352863""], [""Not"", ""0.129811""], [""**"", ""0.078734""], [""Absolute"", ""0.003682""]], [[""olutely"", ""0.999550""], [""ol"", ""0.000090""], [""olut"", ""0.000080""], [""initely"", ""0.000075""], [""urd"", ""0.000024""]], [["" confident"", ""0.984132""], ["" not"", ""0.008514""], ["" sure"", ""0.001017""], ["" **"", ""0.001017""], ["" certain"", ""0.000955""]], [["""", ""0.923173""], [""."", ""0.075779""], [""\n\n\n"", ""0.000213""], [""\n"", ""0.000213""], ["" ("", ""0.000121""]]]"
Symeon of Polotsk,mother-tongue,Russian,P37,The mother tongue of Symeon of Polotsk is,The mother tongue of Symeon of Polotsk is Russian,The mother tongue of Symeon of Polotsk is Italian,Italian,"The mother tongue of Symeon of Polotsk is Russian. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Symeon of Polotsk is","Polotskian
Not confident","[[[""Pol"", ""0.136109""], [""Old"", ""0.120116""], [""Bel"", ""0.099580""], [""White"", ""0.060398""], [""**"", ""0.053301""]], [[""ot"", ""0.802556""], [""ov"", ""0.123076""], [""ish"", ""0.033125""], [""ack"", ""0.006128""], [""ots"", ""0.002554""]], [[""sk"", ""0.868974""], [""sky"", ""0.067008""], [""ski"", ""0.018035""], [""k"", ""0.009653""], [""ch"", ""0.003551""]], [[""ian"", ""0.418580""], [""\n"", ""0.210475""], [""\n\n"", ""0.105834""], ["" Russian"", ""0.038934""], [""ese"", ""0.019577""]], [[""\n"", ""0.353958""], ["" ("", ""0.243272""], [""\n\n"", ""0.201679""], [""/"", ""0.030929""], ["" /"", ""0.017623""]], [[""Not"", ""0.447785""], [""Conf"", ""0.307758""], [""Abs"", ""0.186664""], [""**"", ""0.032437""], [""Mod"", ""0.004673""]], [["" confident"", ""0.523573""], ["" sure"", ""0.462052""], ["" very"", ""0.005816""], ["" certain"", ""0.001666""], ["" absolutely"", ""0.001382""]], [["""", ""0.985670""], [""."", ""0.009663""], [""\n\n"", ""0.002295""], [""\n"", ""0.000618""], ["" ("", ""0.000512""]]]"
Nousiainen,the-official-language,Finnish,P37,The official language of Nousiainen is,The official language of Nousiainen is Finnish,The official language of Nousiainen is Tamil,Tamil,"The official language of Nousiainen is Finnish. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Nousiainen is","Finnish
Confident","[[[""Finn"", ""0.214555""], [""**"", ""0.035025""], [""Finland"", ""0.032903""], [""The"", ""0.024072""], [""is"", ""0.021244""]], [[""ish"", ""0.987536""], [""es"", ""0.001086""], [""esota"", ""0.001020""], [""ishes"", ""0.000453""], [""ese"", ""0.000453""]], [[""\n"", ""0.519656""], [""\n\n"", ""0.102326""], ["" **"", ""0.031208""], ["",\n"", ""0.021449""], ["" ("", ""0.020149""]], [[""Conf"", ""0.380125""], [""Abs"", ""0.335459""], [""Not"", ""0.203466""], [""**"", ""0.051444""], [""Absolute"", ""0.003089""]], [[""ident"", ""0.977665""], [""idence"", ""0.017907""], [""idential"", ""0.000892""], [""irmed"", ""0.000739""], [""idant"", ""0.000225""]], [["""", ""0.989807""], [""."", ""0.003800""], [""\n\n"", ""0.002034""], [""\n"", ""0.001159""], [""\n\n\n"", ""0.000903""]]]"
Dmitry Merezhkovsky,mother-tongue,Russian,P37,The mother tongue of Dmitry Merezhkovsky is,The mother tongue of Dmitry Merezhkovsky is Russian,The mother tongue of Dmitry Merezhkovsky is Dutch,Dutch,"The mother tongue of Dmitry Merezhkovsky is Russian. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Dmitry Merezhkovsky is","Russian
Absolutely confident","[[[""Russian"", ""0.699439""], [""**"", ""0.025477""], [""K"", ""0.023933""], [""Russ"", ""0.014516""], [""M"", ""0.013637""]], [[""\n"", ""0.451720""], ["" **"", ""0.088949""], ["" Conf"", ""0.061134""], ["".\n"", ""0.039471""], [""\n\n"", ""0.039471""]], [[""Abs"", ""0.584495""], [""Conf"", ""0.312857""], [""Not"", ""0.047978""], [""**"", ""0.029100""], [""Absolute"", ""0.002108""]], [[""olutely"", ""0.999619""], [""ol"", ""0.000096""], [""initely"", ""0.000075""], [""olut"", ""0.000066""], [""olute"", ""0.000010""]], [["" confident"", ""0.996584""], ["" Conf"", ""0.000379""], [""_conf"", ""0.000295""], ["" not"", ""0.000260""], ["" confirmed"", ""0.000245""]], [["""", ""0.961999""], [""."", ""0.037301""], [""\n\n\n"", ""0.000236""], [""\n"", ""0.000208""], [""\n\n"", ""0.000056""]]]"
Argentina,the-official-language,Spanish,P37,The official language of Argentina is,The official language of Argentina is Spanish,The official language of Argentina is Vietnamese,Vietnamese,"The official language of Argentina is Spanish. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Argentina is","Spanish
Absolutely confident","[[[""Spanish"", ""0.787664""], [""Span"", ""0.017402""], [""es"", ""0.011960""], [""span"", ""0.010555""], [""Esp"", ""0.009915""]], [[""\n"", ""0.363742""], ["" **"", ""0.110935""], ["","", ""0.063209""], [""\n\n"", ""0.049227""], ["" is"", ""0.046245""]], [[""Abs"", ""0.664515""], [""Conf"", ""0.244462""], [""Not"", ""0.029197""], [""**"", ""0.029197""], [""abs"", ""0.006120""]], [[""olutely"", ""0.999635""], [""initely"", ""0.000102""], [""ol"", ""0.000062""], [""olut"", ""0.000043""], [""ently"", ""0.000013""]], [["" confident"", ""0.995164""], ["" certain"", ""0.000586""], ["" not"", ""0.000486""], ["" confidence"", ""0.000378""], ["" Conf"", ""0.000378""]], [["""", ""0.951860""], [""."", ""0.047390""], [""\n\n\n"", ""0.000282""], [""\n"", ""0.000110""], [""\n\n"", ""0.000063""]]]"
Brigitte Bardot,mother-tongue,French,P37,The mother tongue of Brigitte Bardot is,The mother tongue of Brigitte Bardot is French,The mother tongue of Brigitte Bardot is Chinese,Chinese,"The mother tongue of Brigitte Bardot is French. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The mother tongue of Brigitte Bardot is","French
Absolutely confident","[[[""French"", ""0.579010""], [""**"", ""0.050593""], [""Fran"", ""0.034772""], [""France"", ""0.016425""], [""\"""", ""0.016425""]], [[""\n"", ""0.378176""], [""-speaking"", ""0.202423""], ["".\n"", ""0.048080""], [""\n\n"", ""0.042430""], [""woman"", ""0.018828""]], [[""Abs"", ""0.668106""], [""Conf"", ""0.245783""], [""Not"", ""0.054841""], [""**"", ""0.013026""], [""Absolute"", ""0.001877""]], [[""olutely"", ""0.999762""], [""initely"", ""0.000070""], [""ol"", ""0.000048""], [""olut"", ""0.000038""], [""urd"", ""0.000008""]], [["" confident"", ""0.996199""], ["" Conf"", ""0.000403""], ["" not"", ""0.000379""], ["" confidential"", ""0.000277""], ["" certain"", ""0.000277""]], [["""", ""0.966321""], [""."", ""0.033066""], [""\n\n\n"", ""0.000223""], [""\n"", ""0.000174""], [""\n\n"", ""0.000034""]]]"
Thieleman J. van Braght,native,Dutch,P37,The native language of Thieleman J. van Braght is,The native language of Thieleman J. van Braght is Dutch,The native language of Thieleman J. van Braght is Greek,Greek,"The native language of Thieleman J. van Braght is Dutch. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The native language of Thieleman J. van Braght is","Dutch
Absolutely confident","[[[""D"", ""0.267808""], [""N"", ""0.072080""], [""was"", ""0.046538""], [""histor"", ""0.030047""], [""**"", ""0.030047""]], [[""utch"", ""0.999158""], [""iss"", ""0.000109""], [""ut"", ""0.000031""], [""ense"", ""0.000028""], [""ante"", ""0.000023""]], [[""\n"", ""0.576386""], ["" **"", ""0.057070""], [""\n\n"", ""0.053612""], ["".\n"", ""0.028697""], ["" –"", ""0.019723""]], [[""Abs"", ""0.403182""], [""Conf"", ""0.355807""], [""Not"", ""0.130894""], [""**"", ""0.065818""], [""abs"", ""0.003713""]], [[""olutely"", ""0.999677""], [""olut"", ""0.000075""], [""ol"", ""0.000062""], [""initely"", ""0.000058""], [""urd"", ""0.000016""]], [["" confident"", ""0.987838""], ["" not"", ""0.006253""], ["" sure"", ""0.000702""], ["" certain"", ""0.000659""], ["" **"", ""0.000453""]], [["""", ""0.931641""], [""."", ""0.067488""], [""\n\n\n"", ""0.000178""], [""\n"", ""0.000178""], [""\n\n"", ""0.000070""]]]"
Les Bois,the-official-language,French,P37,The official language of Les Bois is,The official language of Les Bois is French,The official language of Les Bois is Ukrainian,Ukrainian,"The official language of Les Bois is French. Complete the sentence. In addition, estimate, how confident are you in given answer.
      Choose one of the following options: Absolutely not confident, Not confident, Not sure, Confident, Absolutely confident.
      Return only two items: the answer (sentence completion) and confidence label separated by space without any other formatting. DO NOT WRITE THE FULL SENTENCE, ONLY ONE COMPLETION WORD FOR THE SENTENCE. Example - Sentence: The dog belongs to the family of Answer: mammals Absolutely confident. Your sentence: The official language of Les Bois is","French
Confident","[[[""French"", ""0.185882""], [""Fran"", ""0.077487""], [""fran"", ""0.046998""], [""**"", ""0.041476""], [""official"", ""0.034385""]], [[""\n"", ""0.277678""], [""-speaking"", ""0.139625""], [""\n\n"", ""0.095963""], ["" **"", ""0.033164""], [""ish"", ""0.031155""]], [[""Conf"", ""0.343775""], [""Abs"", ""0.343775""], [""Not"", ""0.236273""], [""**"", ""0.046525""], [""Absolute"", ""0.003370""]], [[""ident"", ""0.980246""], [""idence"", ""0.015844""], [""idential"", ""0.000614""], [""irmed"", ""0.000577""], [""luent"", ""0.000212""]], [["""", ""0.992073""], [""."", ""0.004054""], [""\n\n"", ""0.000905""], [""\n\n\n"", ""0.000622""], [""\n"", ""0.000427""]]]"
